ADM0_A3,Demand,source,SSP1-NoCC2010,SSP1-NoCC2030,SSP1-NoCC2050,SSP2-NoCC2010,SSP2-NoCC2030,SSP2-NoCC2050,SSP3-NoCC2010,SSP3-NoCC2030,SSP3-NoCC2050
USA,11586889,observed,14024941.9,15942457.31,17764971.47,14024941.93,15896619.6,17687500.52,14024941.75,14938890.17,15016926.48
BRA,7863343,observed,7410470.7,8757867.411,9111442.349,7410470.517,8948928.913,9615243.462,7410471.634,9215686.084,10396756.82
CHN,7089479,observed,8037313.28,15882757.58,15786343.08,8037313.133,14989355.08,14285484.99,8037314.034,14529428.02,12977377.65
ARG,2589084,observed,2604949.13,2884884.417,2920605.615,2604949.085,2987973.236,3229277.208,2604949.36,3138421.368,3725681.804
RUS,2430371,observed,2553331.185,2504062.185,2388876.201,2553331.18,2535743.899,2513702.772,2553331.209,2520797.41,2511464.761
MEX,1875526,observed,1962913.147,2577937.398,2954395.671,1962913.111,2653027.609,3154934.56,1962913.331,2787499.81,3514973.608
PAK,1606150,observed,1248242.459,2066028.01,3524699.224,1248242.421,2102168.023,3554182.441,1248242.658,2149440.781,3514086.908
FRA,1530979,observed,1647215.225,1877214.274,2166764.263,1647215.209,1861676.4,2123357.008,1647215.307,1772290.118,1846679.535
JPN,1188640,observed,1091687.046,1161967.783,1169842.719,1091687.031,1131316.25,1080169.117,1091687.123,1085610.203,934469.6001
GBR,1148493,observed,1323842.896,1535450.299,1767830.399,1323842.883,1522113.042,1739509.375,1323842.962,1438344.829,1485626.445
ITA,1134703,observed,1432805.427,1489147.061,1571669.962,1432805.413,1473791.284,1532808.685,1432805.499,1400374.792,1321170.988
DEU,1093895,observed,1036385.979,1053758.793,1086418.567,1036385.969,1040062.906,1056472.149,1036386.031,989682.1778,906500.319
CAN,1064325,observed,1106101.571,1336018.841,1560804.22,1106101.568,1327929.985,1542515.765,1106101.59,1221619.705,1248785.127
EGY,1056718,observed,974222.8259,1785378.287,2790003.763,974222.8098,1780114.724,2768461.057,974222.9083,1784747.081,2683439.728
IND,1017256,observed,2309359.313,3886580.513,4826692.25,2309359.197,3911972.158,4970022.551,2309359.906,3971437.382,5148719.384
ZAF,961260,observed,799251.603,1178043.932,1402497.41,799251.6014,1156741.512,1355659.079,799251.6109,1104048.7,1242630.922
TUR,872141,observed,384690.5518,614852.0021,785210.0409,384690.5556,618582.7845,795789.856,384690.5322,624293.581,787205.2682
VEN,816555,observed,533922.6151,745734.9772,880501.3248,533922.6072,766195.8736,949008.1324,533922.6555,801505.0676,1095516.739
UZB,815833,observed,578400.7513,733669.8187,782149.5504,578400.7502,756020.4746,842893.2896,578400.7571,802263.5721,968120.9441
COL,807375,observed,848194.9557,1126111.637,1293934.41,848194.9465,1153024.772,1368395.993,848195.0026,1194062.199,1478660.467
AUS,790362,observed,870994.2951,1205707.732,1538667.238,870994.3017,1196247.735,1504235.699,870994.2612,1089898.313,1195000.097
KOR,715865,observed,579139.4402,979220.8646,1016855.728,579139.4519,947251.8096,960531.6706,579139.3798,896779.5121,812650.3269
VNM,681901,observed,285383.2137,477711.6428,601918.8361,285383.2154,470912.0582,579478.0278,285383.2051,472649.7835,571176.0656
IDN,646651,observed,576463.0553,1205194.827,1418544.271,576463.0628,1144752.182,1281879.325,576463.0167,1116781.708,1179886.705
ESP,569975,observed,708931.4654,776913.5858,858313.2325,708931.4584,770919.9134,840612.1324,708931.501,727423.2435,713241.4216
KEN,423035,observed,452145.6688,840447.426,1412106.8,452145.6509,838372.7516,1373168.375,452145.7607,878864.17,1484523.09
CHL,420275,observed,377884.5299,534048.2079,598826.2919,377884.5246,537959.4003,611802.2289,377884.5572,540232.1842,608324.7884
KAZ,415257,observed,388564.239,510630.9558,544012.1159,388564.2384,520312.7193,575869.4882,388564.2417,534579.2761,624673.841
SDN,409078,observed,618976.639,1697198.661,4145131.017,618976.6257,1600661.354,3336160.982,618976.707,1545648.616,2715031.043
UKR,407928,observed,532355.7345,517229.9147,498686.8219,532355.7337,517345.3321,510467.7866,532355.7385,513869.9714,501997.0336
NGA,404063,observed,347234.5712,905158.1095,2186774.129,347234.5538,882289.0042,1976413.425,347234.6608,883059.4867,1796372.034
PHL,399569,observed,480535.7708,1072142.241,1773101.333,480535.7806,1030003.7,1576592.938,480535.7203,1007001.255,1425623.854
ETH,339851,observed,421834.5099,656827.9824,808534.1053,421834.4919,681762.229,895420.3786,421834.6024,712202.7406,1027490.943
TZA,300129,observed,332714.2788,712910.939,1399836.201,332714.2656,734512.5974,1423062.987,332714.3462,751512.1997,1444823.031
NLD,296090,observed,280177.3636,307646.5317,337024.2535,280177.3608,305404.6533,332920.6202,280177.3775,291136.7925,287949.5564
IRN,277064,observed,497924.9716,715998.6923,874653.2102,497924.9782,725190.5,888142.3185,497924.9369,728084.053,899690.6257
MAR,265237,observed,181221.0885,349875.7059,444164.9645,181221.092,341272.8817,427809.0032,181221.0707,342643.7744,421484.4119
MMR,263048,observed,160694.2312,369114.385,513914.6976,160694.2322,337019.6022,388867.1367,160694.2257,329921.2512,336417.6424
ECU,261378,observed,236110.6334,358846.7114,470290.3029,236110.6303,362205.3056,472096.2157,236110.6492,373970.6625,493621.6015
SWE,235290,observed,222057.443,269120.541,321495.8517,222057.4408,266432.5782,317012.2665,222057.454,247256.9065,260700.7206
ISR,222372,observed,192150.6936,281981.955,373091.2186,192150.6929,283467.3772,380514.2434,192150.6967,260874.0087,319196.5772
DZA,219582,observed,240123.4741,416129.813,548551.5939,240123.4789,413799.021,513376.4446,240123.4493,418996.8209,480420.7915
NPL,219249,observed,220804.3685,484680.9751,1231964.932,220804.3669,459248.642,961280.3216,220804.3765,449170.4595,802627.9797
BOL,211064,observed,209986.3936,348051.82,462359.0179,209986.3905,355678.0745,482323.5229,209986.409,375128.9006,533479.8683
BGD,200522,observed,233373.6988,495965.6535,742881.1575,233373.6961,476530.3372,657441.3433,233373.7123,474774.7985,609409.806
PER,196402,observed,189397.609,288950.6916,341285.9794,189397.6063,290485.3296,343836.0986,189397.6227,306600.3994,381557.2071
HKG,194886,observed,0,0,0,0,0,0,0,0,0
MYS,193787,observed,202079.083,450846.9533,668313.1391,202079.0857,437474.9566,641820.2814,202079.0693,423984.0808,582127.9879
