"ADM0_A3","SUBREGION","CONTINENT","price"
"IDN","South-Eastern Asia","Asia",3080.77857142857
"MYS","South-Eastern Asia","Asia",2672.64285714286
"CHL","South America","South America",1367.20714285714
"BOL","South America","South America",742.407692307692
"PER","South America","South America",1497.04285714286
"ARG","South America","South America",1362.3
"ESB","Western Asia","Asia",3050.24553317053
"CYP","Western Asia","Asia",2034.72727272727
"IND","Southern Asia","Asia",1643.35745670996
"CHN","Eastern Asia","Asia",2585.73333333333
"ISR","Western Asia","Asia",3206.62142857143
"PSX","Western Asia","Asia",3050.24553317053
"LBN","Western Asia","Asia",2650.63636363636
"ETH","Eastern Africa","Africa",1594.1
"SDS","Eastern Africa","Africa",2160.89767482517
"SOM","Eastern Africa","Africa",2160.89767482517
"KEN","Eastern Africa","Africa",1134.72727272727
"PAK","Southern Asia","Asia",851.533333333333
"MWI","Eastern Africa","Africa",1303.91538461538
"TZA","Eastern Africa","Africa",2160.89767482517
"SYR","Western Asia","Asia",3050.24553317053
"SOL","Eastern Africa","Africa",2160.89767482517
"FRA","Western Europe","Europe",2516.29090909091
"SUR","South America","South America",3948.43571428571
"GUY","South America","South America",2402.02
"KOR","Eastern Asia","Asia",7875.81666666667
"PRK","Eastern Asia","Asia",5647.70285714286
"MAR","Northern Africa","Africa",3165.95
"SAH","Northern Africa","Africa",3311.6969551282
"CRI","Central America","North America",1504.56666666667
"NIC","Central America","North America",973.875
"COG","Middle Africa","Africa",2502.86
"COD","Middle Africa","Africa",2502.86
"BTN","Southern Asia","Asia",1224.96363636364
"UKR","Eastern Europe","Europe",1235.99285714286
"BLR","Eastern Europe","Europe",1432.81428571429
"NAM","Southern Africa","Africa",1598.45
"ZAF","Southern Africa","Africa",1689.91428571429
"MAF","Caribbean","North America",3657.42163461538
"SXM","Caribbean","North America",3657.42163461538
"OMN","Western Asia","Asia",3050.24553317053
"UZB","Central Asia","Asia",1670.53498168498
"KAZ","Central Asia","Asia",1823.13571428571
"TJK","Central Asia","Asia",995.9
