ADM0_A3,cattle_ratio
IDN,
MYS,
CHL,0.2592533742376007
BOL,0.43496734439448
PER,0.38944545432622707
ARG,0.469283904914301
ESB,
CYP,0.06584071375750666
IND,
CHN,0.07558158424548175
ISR,0.20194526485461625
PSX,0.2049874482088243
LBN,0.049020870870275936
ETH,
SDS,
SOM,
KEN,
PAK,0.035927663668593506
MWI,0.014385335136687145
TZA,0.04353904375073149
SYR,0.1421126368722603
SOL,
FRA,0.09273428416326532
SUR,
GUY,
KOR,0.04624510000552375
PRK,0.1569298464813637
MAR,0.24211047397161017
SAH,0.6520768574856345
CRI,0.5407352457438599
NIC,0.6537873342259102
COG,0.06168298922006358
COD,0.08993287243388556
BTN,0.07481390238057947
UKR,0.30952148406421065
BLR,0.3446870502742514
NAM,0.05482357548286985
ZAF,0.04492514398883272
MAF,
SXM,
OMN,0.15129877806367342
UZB,0.24919624978064586
KAZ,0.18300352226074298
TJK,0.4898811776615738
LTU,0.12598417034404802
BRA,0.5647896017052847
URY,
MNG,0.2930305722778513
RUS,0.3192461192597157
CZE,0.05603263901022332
DEU,0.07768415577276232
EST,0.12141277789760507
LVA,0.13792443044736677
NOR,0.3881773212599634
SWE,0.07603971600201968
FIN,0.09254198556938001
VNM,0.092703259297686
KHM,
LUX,0.21522823691172066
ARE,0.13307700658948138
BEL,0.04852727707738119
GEO,0.35479555872533275
MKD,0.2931649408730086
ALB,0.3792728129527483
AZE,0.39538238047854796
KOS,0.5548960392210128
TUR,0.2141182145204418
ESP,0.10468002722299369
LAO,0.32398308633791745
KGZ,0.17976209612845087
ARM,0.3722027499033838
DNK,0.04896369089703552
LBY,0.03996112798875843
TUN,0.2671225875939627
ROU,0.08172670294982502
HUN,0.024672770488521976
SVK,0.06304996972335337
POL,0.08277204114022178
IRL,0.2047698996223277
GBR,0.09679575472983623
GRC,0.11253868485390899
ZMB,0.023507088567014514
SLE,0.12433797102472281
GIN,0.5296356909513709
LBR,0.2381537803596428
CAF,0.556606382262615
SDN,
DJI,
ERI,
AUT,0.10349456927583506
IRQ,0.33553216488602855
ITA,0.2116189925067831
CHE,0.28908035324240017
IRN,0.20847062253400014
NLD,0.04072811616749941
LIE,
CIV,0.3558724754424679
SRB,0.20002632004091916
MLI,0.588025221641308
SEN,
NGA,0.18068275484918817
BEN,0.263073502930191
AGO,0.03516755999918089
HRV,0.17181627273853314
SVN,0.1360479347043803
QAT,0.08267632753893997
SAU,0.2517556121268026
BWA,0.025060603773832252
ZWE,0.044906768520594186
BGR,0.07613890032172269
THA,
SMR,
HTI,0.5331167454439424
DOM,0.22943233289248516
TCD,
KWT,0.02756214141621303
SLV,0.4283185550299392
GTM,0.3154528195902448
TLS,
BRN,
MCO,
DZA,0.332283508973623
MOZ,0.004133478421661176
SWZ,0.05508619936278509
BDI,0.1332497777932723
RWA,0.09772187869690611
MMR,0.6632018048199271
BGD,
AND,
AFG,0.09254080619855941
MNE,0.5523515497033058
BIH,0.44993870930447527
UGA,0.09029522349543491
USG,
CUB,
HND,0.5393558836702789
ECU,0.4306228079942733
COL,0.6553454445729141
PRY,
PRT,0.14857899036100883
MDA,0.17862616002660217
TKM,0.17917441774929033
JOR,0.13442662767906058
NPL,
LSO,0.053487901639094323
CMR,0.5607524421612381
GAB,
NER,
BFA,0.3976260827275953
TGO,0.07610466325362097
GHA,0.18616139271276216
GNB,0.323402776414464
GIB,
USA,0.14054548191310642
CAN,0.16963140237419552
MEX,0.3191334324886704
BLZ,0.23139175258282615
PAN,0.6376613149172953
VEN,0.7573303104243978
PNG,
EGY,0.4795590949735729
YEM,0.2782702747494331
MRT,
GNQ,
GMB,
HKG,
VAT,
CYN,0.04384128276058463
CNM,0.022746272753325535
KAS,
KAB,0.22231604654068893
WSB,
ATA,
AUS,
GRL,
FJI,
NZL,
NCL,
MDG,0.06340456272624541
PHL,
LKA,
CUW,
ABW,
BHS,
TCA,
TWN,
JPN,0.06048127579840175
SPM,
ISL,
PCN,
PYF,
ATF,
SYC,
KIR,
MHL,
TTO,
GRD,
VCT,
BRB,
LCA,
DMA,
UMI,
MSR,
ATG,
KNA,
VIR,
BLM,
PRI,0.3627701300284835
AIA,
VGB,
JAM,
CYM,
BMU,
HMD,
SHN,
MUS,
COM,
STP,
CPV,
MLT,
JEY,
GGY,
IMN,
ALD,0.32390845286679526
FRO,
IOA,
IOT,
SGP,
NFK,
COK,
TON,
WLF,
WSM,
SLB,
TUV,
MDV,
NRU,
FSM,
SGS,
FLK,
VUT,
NIU,
ASM,
PLW,
GUM,
MNP,
BHR,
CSI,
PGA,
CLP,
MAC,
ATC,
BJN,
SER,
SCR,
