ADM0_A3,barley_area,cassava_area,groundnut_area,maize_area,millet_area,oilpalm_area,potato_area,rapeseed_area,rice_area,rye_area,sorghum_area,soybean_area,sugarbeet_area,sugarcane_area,sunflower_area,wheat_area
IDN,0.0,0.05991750585549447,0.032558705035181545,0.16081971187465896,0.0,0.11078631825695702,0.0030639453217393,0.0,0.5740381806602577,0.0,0.0,0.04004004293389332,0.0,0.018775590061817664,0.0,0.0
MYS,0.0,0.00987863045868416,0.0001427805821293188,0.006691277908941723,0.0,0.7961416080946757,0.0,0.0,0.18167261302955706,0.0,0.0,7.513378475604396e-07,0.0,0.005472338588164498,0.0,0.0
CHL,0.03021275041536664,0.0,0.0,0.17845147776840342,0.0,2.1699428420076978e-06,0.08685639136688589,0.03125609808270964,0.04941254157709043,0.0011674848619141632,0.0,0.0,0.08771060187766867,1.4694137764372288e-05,0.005433385232820677,0.5294824047365341
BOL,0.051362323605017135,0.02178106674225894,0.006758595675942539,0.16685486829479998,0.0,2.2617729057267593e-06,0.07576689856077153,0.0,0.08606383390016407,0.00017129881645667374,0.029391653897761487,0.3481565228544136,0.0,0.05318169863616392,0.07930387812341513,0.08120509911992926
PER,0.09657305665445196,0.05591202674338857,0.0031085511239169064,0.3168458384667568,0.0,0.006637380910548079,0.17353221272248462,0.0,0.20646982404634415,7.018980518446679e-05,6.0252133946313634e-05,0.001530760256824881,0.0,0.04474012488836287,0.0,0.0945197822477904
ARG,0.01131322412565762,0.0006918582130119477,0.011881352117713928,0.12434515031338023,0.001184978745036913,8.130101417665808e-08,0.003877647841345494,0.00018418455679308917,0.008343945368409765,0.002903866864115548,0.028883837949425117,0.40399989948655085,7.450667913028309e-07,0.01196739481408954,0.1234738179869035,0.26694801524976103
ESB,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,
IND,0.00601891022207333,0.0019479306749766476,0.05167396759153961,0.05190607041365694,0.09884639191893609,0.0,0.010337241119940185,0.04631860544928365,0.34795332791094313,1.184087149994728e-07,0.07777017243043889,0.050248150074485826,1.5334252264783566e-07,0.03400609037267979,0.011930300219416016,0.21104256985039224
CHN,0.010082792364267583,0.0021302014322166773,0.040170225005719026,0.21917530329244686,0.011005208490924203,0.00040174928985386115,0.039236260365286685,0.06199529329984542,0.265228630604504,0.004549297422121249,0.008168885957349778,0.07862070411927868,0.0036351274166154714,0.011008384106831694,0.00941802033446329,0.2351739164982755
ISR,0.30620126741042447,0.0,0.013269588132433714,0.04226390324506086,0.00023396498216767713,0.0,0.03972344012385853,0.0,0.0,0.0,0.003714930500481598,0.0006240814758603277,0.005565500546955013,0.0,0.033760898385096265,0.5546424251976615
PSX,0.11010319121029477,0.0,0.024699641613513162,0.06964460772426562,3.4041790825487596e-05,0.0,0.08334643002104161,0.0,0.0,0.0,0.006594241055041492,0.0,0.0,0.0,0.07350949893077462,0.6320683476542432
LBN,0.1201145510328339,0.0,0.03715434967199635,0.013252625943165106,0.0,0.0,0.20379007317426392,0.0,0.0,0.0,0.012320788600503788,0.0,0.05740862173704777,0.0016234009957399947,0.0011382413373895765,0.5531973475070596
ETH,0.16990282363205614,2.1495280732423578e-05,0.0037653472125439165,0.31872384668296827,0.049502189530509846,0.0,0.011585006581405025,0.00392864303369954,0.0009229877502872866,0.0,0.22935896007135978,0.0018582201754806385,0.0,0.005375079734599485,6.357183110400487e-06,0.20504904313124725
SDS,0.0,0.002203014379834527,0.5039166945384603,0.024165448091462028,0.08688189372125463,2.2053148997769194e-05,0.0006556318919470521,1.076852907443143e-06,0.0017764295961329817,0.0,0.3332872062250395,3.0796331017273767e-06,0.0,0.022432781674819224,0.0055981838884188,0.019056506357623976
SOM,3.452635122701113e-05,0.02257983745813774,2.3196134006870253e-05,0.4462150051370477,0.0001516663431541925,0.0,0.00018006678211232333,0.0,0.0030067175022431766,0.0,0.5166315283717144,0.0,0.0,0.005072835322811404,1.7614047925393994e-05,0.006087006549619774
KEN,0.00956507051083897,0.029725376484741054,0.009347806939435264,0.6981213832747226,0.04460440950083051,4.457064332552469e-06,0.0505417741100794,5.15109018050117e-06,0.005828118032842419,0.0,0.061041803604166237,0.00039280141674631603,0.0,0.023494657996513908,0.004995074030372812,0.06233211594419745
PAK,0.009277107771157502,0.0,0.006740494652786044,0.06753271382799868,0.029312710726371052,0.0,0.0074268996836479185,0.02277992684128613,0.1662106888989243,0.0,0.026097861690507033,0.0005357363864545986,0.00044328334762772776,0.07357631801672271,0.008000184333126645,0.5820660738233897
MWI,4.962321611280739e-06,0.08966742598944147,0.08307463834208907,0.6459978655584527,0.01679772362346012,0.0,0.0978277185546081,0.0,0.025314247437116855,0.0,0.022720642828331934,5.5436995348051026e-05,0.0,0.012735824269295664,0.004213622256615694,0.001589891823629041
TZA,0.0006800331058754899,0.12702641138808987,0.035563884857227474,0.4574493342562043,0.06328579429435137,0.001373260311200674,0.010853529185849975,0.0,0.0966911971043349,0.0,0.15554524456142757,0.0017030553529962101,0.0,0.004507677068878,0.024914861138356243,0.020405717375207938
SYR,0.4269754065278911,0.0,0.0035193921120648605,0.019486860940670463,0.0003841958049662738,0.0,0.007190224861795301,0.0,3.2307349477632496e-06,0.0,0.0012445383662054892,0.0010359500513921747,0.00874306333046973,1.470523235664704e-06,0.00170817669758103,0.5297074900487801
SOL,0.0,0.015011450114578998,0.0008989002047813029,0.4544561866039027,0.0,0.0,0.0029458657074016652,0.0,0.0022307828399189293,0.0,0.5132760808869155,0.0004744433926155056,0.0,0.0046969016925603275,0.0,0.006009388557325155
FRA,0.1446129461189737,0.00015084993068971284,0.0,0.16405302364109495,0.00011586894199087743,0.0,0.014203496380018167,0.09917649867238976,0.002502604936659058,0.003109557402160647,0.0057286302318485804,0.00878820934905476,0.03712734592442222,6.913242112862335e-06,0.06836795435263063,0.45205610087595405
SUR,0.0,0.004589488193841437,0.0038990277990902066,0.0007306169750415427,0.0,0.008149682331769976,0.0,0.0,0.9323994868069008,0.0,0.0,0.0010407432995153236,0.0,0.04919095459384076,0.0,0.0
GUY,0.0,0.01512714480167695,0.01697472100434727,0.013195387710457022,0.0,2.096581856416895e-05,0.0,0.0,0.6924696902845366,0.0,6.161783235918218e-05,0.0,0.0,0.2621361343642626,1.4338183796212034e-05,0.0
KOR,0.05962164053102012,0.0,0.004357681372011079,0.013747942809232276,0.0012992803129213333,0.0,0.019569528125822938,0.0008938769387042721,0.8297955197580551,8.717738246376292e-06,0.0011515440008502962,0.06828662926820668,0.0,0.0,0.0,0.0012676391449295136
PRK,0.024170418884273147,1.2880718485905545e-05,4.608515780343504e-06,0.30289584100199474,0.018136913800867353,2.4368163404003862e-06,0.09173614898950838,0.0,0.32198733386604655,0.027552376847470233,0.0060589531289877265,0.17210507702083983,1.8642708710574835e-06,0.0,2.681495518809229e-05,0.03530833118334619
MAR,0.3878064464447874,0.0,0.00484247119116922,0.051598465302057736,0.001075847468305814,0.0,0.012029207322139841,0.0001599820143794154,0.0012169725127134504,0.0004696047955953736,0.004320659327336548,0.00022356499228305292,0.011460320449340207,0.0030430366116386966,0.014985724705074813,0.5067676968631784
SAH,,,,,,,,,,,,,,,,
CRI,0.0,0.04682807674285813,0.0009050311099906483,0.06451218995761823,0.0,0.21386171231475387,0.020045498849980935,0.0,0.3558899451137203,0.0,0.0,0.0,0.0,0.29795754591107787,0.0,0.0
NIC,0.0,0.012650156898772618,0.03687381802014027,0.5897945829824516,0.0,0.003733647822019178,0.003957775858861471,0.0,0.15426014183800316,0.0,0.09262423846719935,0.014242078768721921,0.0,0.09185051389642075,0.0,1.3045447409721016e-05
COG,0.0,0.601564638629912,0.18339810092338,0.061501129249239096,5.6434116134009705e-05,0.05202054687131589,0.0033014618401270316,0.0,0.012792582928215121,0.0,0.00045018067134611244,0.0002704320817525586,0.0,0.0846444926885781,0.0,0.0
COD,0.00015442844938686682,0.40675954407431214,0.10188825714086941,0.3081701136515057,0.010817259651189872,0.0474287745825452,0.004049021213084801,0.0,0.08858293618293019,0.0,0.017670202119653904,0.004950637596210238,0.0,0.007962610232636945,6.669648344380071e-06,0.0015595454573303184
BTN,0.033959076399460456,0.0,0.0,0.46882091707152046,0.07959179496527756,0.0,0.037181572521134874,0.00015208852071652487,0.26771402757816176,8.489737670005447e-05,7.602624749057642e-05,0.013854793047114396,0.0,0.00495607850212522,0.0,0.09360872777029808
