"ADM0_A3","barley","cassava","groundnut","maize","millet","oilpalm","potato","rapeseed","rice","rye","sorghum","soybean","sugarbeet","sugarcane","sunflower","wheat"
"IDN",0.218382178805769,2.00864267349243,12.6240043640137,1.22887539863586,0.0883776834234594,11.1540403366089,2.39796423912048,0.474082340796788,12.554892539978,0.397363379597664,28.0549831390381,1.12978744506836,0.562994490067163,13.0071792602539,0.436489295214415,0.650816074572503
"MYS",0.218382178805769,7.27773571014404,8.93334579467773,7.39830160140991,0.0883776834234594,4.6874885559082,0.398996531963348,0.474082340796788,11.1460752487183,0.397363379597664,5.71661360934377,0.0312610119581223,0.562994490067163,7.52519416809082,0.436489295214415,0.650816074572503
"CHL",0.74709939956665,0.113472811877728,0.0989923402667046,2.22507190704346,0.473647922277451,0.871164023876191,0.784002244472504,1.27875781059265,5.52130270004272,0.372878134250641,0.577656805515289,0.139767333865166,2.07058238983154,0.342234313488007,0.72076404094696,0.852147221565247
"BOL",0.0183831304311752,0.0642104744911194,0.0153796374797821,0.0269966050982475,0.0207332670688629,0.871164023876191,0.0250184237957001,0.0886184722185135,2.5072877407074,0.0282404515892267,0.00491058314219117,0.00442892219871283,0.833707896726471,0.0203984696418047,0.0140641732141376,0.0117899999022484
"PER",0.249953925609589,2.95989680290222,0.648488700389862,0.750690996646881,0.168789128959179,1.77349579334259,0.463144868612289,0.140667647123337,4.6604528427124,0.776386439800262,0.758235335350037,0.612325251102448,0.50036609172821,0.882070064544678,0.0846221372485161,0.791087210178375
"ARG",0.0955709517002106,0.126427888870239,0.0705003067851067,0.0839340463280678,0.112836427986622,0.185187056660652,0.104266263544559,0.061500571668148,4.51582193374634,0.0832073092460632,0.0389333218336105,0.0306233447045088,0.225885882973671,0.170410364866257,0.0526783391833305,0.134687140583992
"ESB",0.404724073441078,NA,0.171270454716351,0.667287807290753,0.138650057630406,NA,1.00188794583082,0.291608487566312,5.18726801872254,0.136233143508434,1.01704352365976,0.142603375549827,0.358907585697515,0.458880266640336,0.426064763683825,0.377104783696788
"CYP",0.404724073441078,NA,0.171270454716351,0.667287807290753,0.138650057630406,NA,1.00188794583082,0.291608487566312,5.18726801872254,0.136233143508434,1.01704352365976,0.142603375549827,0.358907585697515,0.458880266640336,0.426064763683825,0.377104783696788
"IND",0.163344457745552,0.199373438954353,0.118360914289951,0.113367192447186,0.057543933391571,NA,0.589629113674164,0.211551338434219,6.15427446365356,0.346003025770187,0.0748352035880089,0.176932528614998,0.587942481040955,0.558402359485626,0.36961704492569,0.595013320446014
"CHN",0.578994691371918,0.789145827293396,0.512951076030731,1.13477516174316,0.427033990621567,0.500990569591522,0.883467137813568,0.886949121952057,7.46642589569092,0.577498078346252,0.726371943950653,0.688115119934082,1.39393770694733,1.02078998088837,0.73698616027832,1.02217733860016
"ISR",0.243705049157143,NA,0.401909112930298,1.75168633460999,0.138650057630406,NA,3.15479111671448,0.291608487566312,5.18726801872254,0.136233143508434,0.731820702552795,0.142603375549827,0.358907585697515,0.458880266640336,0.65297544002533,0.444527387619019
"PSX",0.404724073441078,NA,0.171270454716351,0.667287807290753,0.138650057630406,NA,1.00188794583082,0.291608487566312,5.18726801872254,0.136233143508434,1.01704352365976,0.142603375549827,0.358907585697515,0.458880266640336,0.426064763683825,0.377104783696788
"LBN",0.262401282787323,NA,0.280759751796722,0.387227594852448,0.354593873023987,NA,1.20059263706207,0.291608487566312,5.18726801872254,0.136233143508434,0.293240815401077,0.0326175838708878,0.186009451746941,0.410674899816513,0.158273711800575,0.49244013428688
"ETH",0.22769595682621,0.000906242348719388,0.549246311187744,0.238922253251076,0.112427964806557,2.20241826894094,0.641304075717926,0.170156762003899,4.51643419265747,NA,0.0961829423904419,0.546422004699707,NA,0.635946154594421,0.0146665284410119,0.199217393994331
"SDS",2.8148902325891,1.19703514022694,0.702839714940637,0.400910900373544,0.777407837354324,2.20241826894094,0.638187789668639,0.136228051036597,4.09261677815364,NA,0.254454730221858,0.743621332189915,NA,0.901650502656897,2.53310702627318,0.296625762318189
"SOM",2.8148902325891,0.0725744217634201,0.702839714940637,0.0751298666000366,0.777407837354324,2.20241826894094,0.638187789668639,0.136228051036597,5.18316555023193,NA,0.0745542868971825,0.743621332189915,NA,0.0754674151539803,2.53310702627318,0.0745459645986557
"KEN",0.15401753783226,0.133063316345215,0.138039767742157,0.145577549934387,0.134901821613312,2.20241826894094,0.198252156376839,0.102299340069294,5.01115226745605,NA,0.157691493630409,0.0101685915142298,NA,0.164878278970718,0.174314424395561,0.162701711058617
"PAK",0.307250827550888,0.102835766971111,0.287464827299118,0.255887031555176,0.12447614967823,NA,1.5049843788147,1.03716802597046,5.69026470184326,0.180609201779589,0.156550213694572,0.357886552810669,1.08104908466339,1.29355978965759,0.720470249652863,0.572378814220428
"MWI",0.0384183563292027,0.0894114002585411,0.248667418956757,0.263051271438599,0.23860003054142,0.0260409470647573,0.476468831300735,0.136228051036597,2.88261890411377,NA,0.340035647153854,0.0286103207617998,NA,0.342644840478897,0.374257355928421,0.327599734067917
