ADM0_A3,cscc
AFG,0.060589549
AGO,3.907404126
ALB,0.037042789
ARE,27.58074802
ARG,2.947009941
ARM,-0.030514337
AUS,5.555220913
AUT,-0.923480286
AZE,0.106820901
BDI,0.045153911
BEL,-0.465027136
BEN,0.254168083
BFA,0.95660892
BGD,2.148282546
BGR,-0.084618752
BHS,0.193260155
BIH,-0.03663682
BLR,-0.408349894
BLZ,0.036874544
BOL,0.344554674
BRA,26.93831506
BRN,0.585361258
BTN,0.032629946
BWA,0.721288807
CAF,0.051753019
CAN,-8.402710721
CHE,-1.085135668
CHL,-0.360694162
CHN,25.82356675
CIV,0.507506158
CMR,0.674517823
COD,0.351186252
COG,0.520923504
COL,4.847568906
COM,0.006298704
CPV,0.010354643
CRI,0.703763381
CUB,0.461560495
CYP,0.18628891
CZE,-0.747033551
DEU,-5.259383241
DJI,0.049379611
DNK,-0.582323692
DOM,1.499718702
DZA,1.998332704
ECU,0.791359796
EGY,6.802086567
ERI,0.042482188
ESP,3.836906709
EST,-0.102670919
ETH,0.823131137
FIN,-1.287325742
FJI,0.020441645
FRA,-1.054465457
GAB,0.471140119
GBR,-3.886852988
GEO,-0.006985751
GHA,1.095863597
GIN,0.194714416
GMB,0.0566377
GNB,0.02228973
GNQ,0.73244827
GRC,0.673758177
GTM,0.900997596
GUY,0.03424691
HND,0.407080662
HRV,0.005285323
HTI,0.080462052
HUN,-0.119278153
IDN,11.95941854
IND,92.70877997
IRL,-0.453397687
IRN,3.677782503
IRQ,8.293464847
ISL,-0.093959206
ISR,5.334164719
ITA,1.917413408
JAM,0.097639096
JOR,0.33016897
JPN,5.884261683
KAZ,-1.174627726
KEN,0.648939948
KGZ,-0.038062447
KHM,0.536135444
KOR,-0.967457709
KWT,12.09349819
LAO,0.251380965
LBN,0.096272132
LBR,0.048095991
LBY,1.866949043
LKA,1.495931913
LSO,5.05E-05
LTU,-0.165481997
LUX,-0.129840389
LVA,-0.100444393
MAR,0.637309858
MDA,-0.008870594
MDG,0.150006419
MEX,13.02083048
MKD,-0.027807592
MLI,0.598495295
MMR,1.010528995
MNE,-0.015825382
MNG,-0.15311928
MOZ,0.360427481
MRT,0.364624527
MUS,0.159882619
MWI,0.281418317
MYS,8.819846232
NAM,0.264672982
NCL,0.057909173
NER,0.797110372
NGA,14.8480061
NIC,0.17156702
NLD,-1.252452146
NOR,-1.747088898
NPL,0.368003535
NZL,0.015209165
OMN,3.858216606
PAK,9.490815409
PAN,1.166520261
PER,1.04013189
PHL,5.452349275
PNG,0.168857942
POL,-1.554552793
PRT,0.509575418
PRY,0.412848725
QAT,16.49208325
ROU,-0.28752665
RUS,-11.59474266
RWA,0.173221842
SAU,51.94015706
SDN,4.161259379
SEN,0.444989893
SLB,0.020977616
SLE,0.099405955
SLV,0.3165857
SOM,0.003439952
SRB,-0.108917978
STP,0.007057756
SUR,0.079274955
SVK,-0.278033451
SVN,-0.132933855
SWE,-2.067185874
SWZ,0.033736977
SYR,0.874664094
TCD,0.517151733
TGO,0.100299008
THA,8.473524927
TJK,0.004879102
TKM,0.296939748
TTO,0.318867594
TUN,0.693617614
TUR,1.05838422
TZA,1.112148492
UGA,0.923066478
UKR,-0.55676465
URY,0.156696054
USA,53.84320942
UZB,0.251048405
VCT,0.009712355
VEN,8.485807978
VNM,2.998977994
VUT,0.005702948
WLD,449.7904476
WSM,0.004703141
YEM,1.186559466
ZAF,3.611092504
ZMB,0.417241885
ZWE,0.025644476
