"region","climate","system","grass","grain","stover"
"EAS","2","grazing",1,0,0
"EAS","3","grazing",1,0,0
"EAS","1","grazing",0.91,0.09,0
"EAS","2","mixed",0.56,0,0.44
"EAS","3","mixed",0.45,0.08,0.47
"EAS","1","mixed",0.76,0.08,0.16
"EUR","2","grazing",1,0,0
"EUR","3","grazing",1,0,0
"EUR","1","grazing",0.89,0.11,0
"EUR","2","mixed",0.92,0.08,0
"EUR","3","mixed",0.89,0.11,0
"EUR","1","mixed",0.81,0.19,0
"LAM","2","grazing",1,0,0
"LAM","3","grazing",1,0,0
"LAM","1","grazing",1,0,0
"LAM","2","mixed",0.5,0,0.5
"LAM","3","mixed",1,0,0
"LAM","1","mixed",0.8,0.2,0
"MNA","2","grazing",0.91,0.09,0
"MNA","3","grazing",0.91,0.09,0
"MNA","1","grazing",0.98,0.02,0
"MNA","2","mixed",0.64,0.36,0
"MNA","3","mixed",0.69,0.31,0
"MNA","1","mixed",0.7,0.3,0
"NAM","2","grazing",1,0,0
"NAM","3","grazing",1,0,0
"NAM","1","grazing",0.82,0.18,0
"NAM","2","mixed",0.62,0.08,0.3
"NAM","3","mixed",0.5,0.19,0.31
"NAM","1","mixed",0.5,0.3,0.2
"OCE","2","grazing",1,0,0
"OCE","3","grazing",1,0,0
"OCE","1","grazing",1,0,0
"OCE","2","mixed",1,0,0
"OCE","3","mixed",0.99,0.01,0
"OCE","1","mixed",0.99,0.01,0
"SAS","2","grazing",1,0,0
"SAS","3","grazing",1,0,0
"SAS","1","grazing",1,0,0
"SAS","2","mixed",0.61,0,0.39
"SAS","3","mixed",0.59,0,0.41
"SAS","1","mixed",0.71,0,0.29
"SEA","2","grazing",1,0,0
"SEA","3","grazing",1,0,0
"SEA","1","grazing",1,0,0
"SEA","2","mixed",0.56,0,0.44
"SEA","3","mixed",0.29,0,0.71
"SEA","1","mixed",0.28,0,0.72
"SSA","2","grazing",0.96,0,0.04
"SSA","3","grazing",1,0,0
"SSA","1","grazing",1,0,0
"SSA","2","mixed",0.64,0,0.36
"SSA","3","mixed",0.49,0.04,0.47
"SSA","1","mixed",0.7,0.01,0.29
