"ADM0_A3","n","p","k"
"IDN",0.3,0.26,0.3
"MYS",0.3,0.18,0.3
"CHL",0.32,0.36,0.32
"BOL",0.41,0.57,0.44
"PER",0.31,0.36,0.34
"ARG",0.3,0.3,0.4
"ESB",0.42,0.35,0.34
"CYP",0.37,0.51,0.56
"IND",0.27,0.15,0.3
"CHN",0.31,0.27,0.3
"ISR",0.38,0.33,0.33
"PSX",0.33,0.37,0.44
"LBN",0.27,0.4,0.99
"ETH",0.45,0.41,0.33
"SDS",0.4,0.41,0.53
"SOM",0.4,0.41,0.53
"KEN",0.27,0.33,0.36
"PAK",0.38,0.21,0.39
"MWI",0.56,0.75,0.85
"TZA",0.33,0.47,0.44
"SYR",0.35,0.32,0.44
"SOL",0.4,0.41,0.53
"FRA",0.31,0.32,0.34
"SUR",0.36,0.49,0.44
"GUY",0.39,0.45,0.31
"KOR",0.33,0.2,0.37
"PRK",0.29,0.49,0.41
"MAR",0.3,0.39,0.3
"SAH",0.33,0.37,0.44
"CRI",0.32,0.49,0.32
"NIC",0.31,0.36,0.32
"COG",0.35,0.59,0.35
"COD",0.45,0.66,0.47
"BTN",0.34,0.32,0.78
"UKR",0.29,0.91,0.29
"BLR",0.28,0.46,0.31
"NAM",0.53,0.25,0.51
"ZAF",0.32,0.31,0.31
"MAF",0.43,0.38,0.4
"SXM",0.43,0.38,0.4
"OMN",0.24,0.31,0.32
"UZB",0.32,0.31,0.33
"KAZ",0.28,0.27,0.37
"TJK",0.28,0.27,0.35
"LTU",0.3,0.49,0.32
"BRA",0.3,0.32,0.31
"URY",0.32,0.28,0.31
"MNG",0.37,0.41,0.24
"RUS",0.3,0.4,0.3
"CZE",0.3,0.39,0.38
"DEU",0.3,0.31,0.34
"EST",0.28,0.36,0.33
"LVA",0.3,0.48,0.31
"NOR",0.29,0.52,0.29
"SWE",0.3,0.42,0.31
"FIN",0.3,0.21,0.26
"VNM",0.29,0.12,0.31
"KHM",0.32,0.18,0.38
"LUX",0.31,0.41,0.4
"ARE",0.32,0.28,0.38
"BEL",0.37,0.33,0.44
"GEO",0.35,0.34,0.65
"MKD",0.34,0.32,0.42
"ALB",0.3,0.26,0.55
"AZE",0.51,0.53,0.36
"KOS",0.32,0.27,0.38
"TUR",0.29,0.34,0.31
"ESP",0.31,0.19,0.3
"LAO",0.4,0.36,0.29
"KGZ",0.33,1.56,0.24
"ARM",0.43,0.43,0.35
"DNK",0.25,0.31,0.39
"LBY",0.32,0.34,0.37
"TUN",0.46,0.37,0.5
"ROU",0.31,0.39,0.34
"HUN",0.28,0.15,0.32
"SVK",0.29,0.18,0.35
"POL",0.28,0.28,0.27
"IRL",0.35,0.44,0.33
"GBR",0.31,0.38,0.32
"GRC",0.33,0.33,0.32
"ZMB",0.53,0.37,0.61
"SLE",0.32,0.54,0.39
"GIN",0.43,0.48,0.53
"LBR",0.28,0.44,0.34
"CAF",0.46,0.68,0.46
"SDN",0.42,0.37,0.45
"DJI",0.31,0.41,2.4
"ERI",0.4,0.41,0.53
"AUT",0.31,0.33,0.3
"IRQ",0.33,0.24,0.32
"ITA",0.32,0.34,0.3
"CHE",0.32,0.37,0.37
"IRN",0.3,0.34,0.42
"NLD",0.27,0.31,0.28
"LIE",0.43,0.38,0.4
"CIV",0.32,0.39,0.32
"SRB",0.31,0.25,0.28
"MLI",0.39,0.39,0.25
"SEN",0.31,0.14,0.31
"NGA",0.28,0.34,0.34
"BEN",0.26,0.41,0.53
"AGO",0.36,0.46,1.07
"HRV",0.32,0.38,0.27
"SVN",0.31,0.28,0.43
"QAT",0.31,0.34,0.44
"SAU",0.31,0.43,0.55
"BWA",0.47,0.39,1.42
"ZWE",0.46,0.44,0.44
"BGR",0.31,0.36,0.32
"THA",0.29,0.3,0.34
"SMR",0.39,0.3,0.4
"HTI",0.4,0.51,0.36
"DOM",0.38,0.36,0.34
"TCD",0.61,0.12,0.36
"KWT",0.31,0.66,0.38
"SLV",0.34,0.36,0.33
"GTM",0.31,0.38,0.3
"TLS",0.32,0.31,0.07
"BRN",0.53,0.36,0.5
"MCO",0.43,0.38,0.4
"DZA",0.31,0.34,0.49
"MOZ",0.49,0.43,0.31
"SWZ",0.36,0.34,0.37
"BDI",0.44,0.66,0.67
"RWA",0.38,0.36,0.3
"MMR",0.37,0.36,0.33
"BGD",0.33,0.42,0.3
"AND",0.71,0.3,0.4
"AFG",0.33,0.45,0.78
"MNE",0.34,0.22,0.38
"BIH",0.34,0.21,0.36
"UGA",0.45,0.52,0.48
"USG",0.39,0.5,0.36
"CUB",0.29,0.33,0.32
"HND",0.32,0.19,0.32
"ECU",0.36,0.51,0.35
"COL",0.33,0.48,0.33
"PRY",0.4,0.28,0.38
"PRT",0.3,0.21,0.29
"MDA",0.32,1.67,0.35
"TKM",0.46,0.65,0.31
"JOR",0.48,0.38,0.32
"NPL",0.41,0.17,2.6
"LSO",0.7,0.42,0.89
"CMR",0.35,0.49,0.33
"GAB",0.3,0.97,0.39
"NER",0.55,0.16,0.53
"BFA",0.4,0.45,0.42
"TGO",0.64,0.47,0.36
"GHA",0.25,0.39,0.3
"GNB",0.13,0.41,0.53
"GIB",0.68,0.35,0.34
"USA",0.33,0.36,0.33
"CAN",0.39,0.38,0.32
"MEX",0.31,0.36,0.33
"BLZ",0.32,0.38,0.09
"PAN",0.31,0.47,0.28
"VEN",0.33,0.46,0.27
"PNG",0.35,0.36,0.36
"EGY",0.35,0.29,0.37
"YEM",0.32,0.37,0.44
"MRT",0.32,0.41,0.53
"GNQ",0.76,0.68,0.74
"GMB",0.48,0.41,0.53
"HKG",0.36,0.5,1.04
"VAT",0.39,0.3,0.4
"CYN",0.39,0.3,0.4
"CNM",0.39,0.3,0.4
"KAS",0.27,0.15,0.3
"KAB",0.35,0.65,0.35
"WSB",0.42,0.35,0.34
"ATA",NA,NA,NA
"AUS",0.29,0.19,0.34
"GRL",0.59,0.35,0.34
"FJI",0.45,0.36,0.36
"NZL",0.31,0.25,0.36
"NCL",0.6,0.64,0.4
"MDG",0.39,0.59,0.49
"PHL",0.32,0.34,0.33
"LKA",0.33,0.34,0.32
"CUW",0.43,0.38,0.4
"ABW",1.18,0.38,0.4
"BHS",0.46,1.85,0.36
"TCA",0.42,0.35,0.34
"TWN",0.37,0.38,0.67
"JPN",0.36,0.36,0.39
"SPM",0.51,0.38,0.4
"ISL",0.47,0.39,0.69
"PCN",0.42,0.35,0.34
"PYF",0.56,0.38,0.73
"ATF",0.15,0.38,0.4
"SYC",0.66,0.16,0.72
"KIR",0.42,0.36,0.4
"MHL",0.42,0.36,0.4
"TTO",0.33,0.76,0.67
"GRD",0.63,0.41,0.36
"VCT",0.39,0.41,0.36
"BRB",0.49,0.41,0.38
"LCA",0.39,0.64,0.74
"DMA",0.39,0.41,0.36
"UMI",0.33,0.36,0.33
"MSR",0.42,0.35,0.34
"ATG",0.33,0.17,0.36
"KNA",0.66,0.5,0.36
"VIR",0.33,0.36,0.33
"BLM",0.31,0.38,0.35
"PRI",0.33,0.36,0.33
"AIA",0.41,0.35,0.34
"VGB",0.42,0.35,0.34
"JAM",0.42,0.58,0.32
"CYM",0.42,0.35,0.34
"BMU",0.65,0.35,0.34
"HMD",0.36,0.95,0.35
"SHN",0.42,0.35,0.34
"MUS",0.47,0.26,0.33
"COM",0.5,0.4,1.31
"STP",0.62,0.38,0.59
"CPV",0.58,1.07,0.53
"MLT",0.4,0.24,0.6
"JEY",0.42,0.35,0.34
"GGY",0.42,0.35,0.34
"IMN",0.42,0.35,0.34
"ALD",0.42,0.35,0.34
"FRO",0.34,0.35,0.34
"IOA",0.36,0.95,0.35
"IOT",0.42,0.35,0.34
"SGP",0.34,0.45,0.58
"NFK",0.36,0.95,0.35
"COK",0.48,0.53,0.35
"TON",0.49,0.36,0.4
"WLF",0.43,0.38,0.4
"WSM",0.42,0.24,0.4
"SLB",0.33,0.5,0.48
"TUV",0.42,0.36,0.4
"MDV",0.24,0.32,0.29
"NRU",0.42,0.36,0.4
"FSM",0.42,0.36,0.4
"SGS",0.42,0.35,0.34
"FLK",0.42,0.35,0.4
"VUT",0.42,0.36,0.4
"NIU",0.36,2.83,0.35
"ASM",0.33,0.36,0.33
"PLW",0.46,0.36,0.4
"GUM",0.33,0.36,0.33
"MNP",0.33,0.36,0.33
"BHR",0.31,0.45,0.55
"CSI",0.36,0.95,0.35
"PGA",NA,NA,NA
"CLP",0.43,0.38,0.4
"MAC",0.43,0.38,0.67
"ATC",0.36,0.95,0.35
"BJN",NA,NA,NA
"SER",NA,NA,NA
"SCR",NA,NA,NA
