"ADM0_A3","barley_area","maize_area","rapeseed_area","rice_area","sorghum_area","soybean_area","wheat_area"
"IDN",0,0.207536637424855,0,0.740791986125201,0,0.051671376449944,0
"MYS",0,0.0355230038295885,0,0.964473007429008,0,3.98874140327337e-06,0
"CHL",0.0368981276083989,0.21793862882662,0.0381723437866773,0.0603463848706564,0,0,0.646644514907647
"BOL",0.0673132564190936,0.218672827590005,0,0.112791566134795,0.0385194398644382,0.456278993082586,0.106423916909082
"PER",0.134878662334683,0.442522421254821,0,0.288365871854843,8.41510822067811e-05,0.00213793477133477,0.132010958702111
"ARG",0.0134040040380166,0.147325190272534,0.0002182234273425,0.00988597734552996,0.0342218165402965,0.478662512465804,0.316282275910477
"ESB",NA,NA,NA,NA,NA,NA,NA
"CYP",NA,NA,NA,NA,NA,NA,NA
"IND",0.00760676251628824,0.0655994417963613,0.0585379443684386,0.43974710280011,0.0982867679866065,0.0635041445040461,0.266717836028149
"CHN",0.0114779938701708,0.249503579643164,0.0705738619588002,0.301929513798277,0.00929925159193694,0.0894998059414211,0.26771599319623
"ISR",0.33743171749005,0.0465745343917825,0,0,0.00409382818606518,0.000687733548702178,0.6112121863834
"PSX",0.134532983540538,0.0850974141772178,0,0,0.00805737702575589,0,0.772312225256488
"LBN",0.17186589671326,0.0189625188783736,0,0,0.0176291994835935,0,0.791542384924773
"ETH",0.182741408160066,0.342807984658176,0.00422550811569346,0.000992732655033798,0.246690304737588,0.00199863524501607,0.220543426428426
"SDS",0,0.0638807905809613,2.84663519610792e-06,0.00469594962952442,0.881036848296543,8.14093727925327e-06,0.0503754239204958
"SOM",3.55218590013775e-05,0.459080845020682,0,0.00309341101437036,0.531527707223491,0,0.00626251488245584
"KEN",0.011423892720138,0.833790381276058,6.15212418425135e-06,0.0069607218359809,0.0729043256949881,0.000469136243182232,0.0744453901054683
"PAK",0.0106084695394983,0.0772243629411447,0.0260490840431007,0.190063657102829,0.0298431771646047,0.000612620148121379,0.665598629060701
"MWI",7.13302075267336e-06,0.928580721317228,0,0.0363876158080491,0.0326594746378686,7.96871442964467e-05,0.00228536807180554
"TZA",0.000928405057067192,0.624525882057925,0,0.132006214976806,0.2123558256295,0.00232507092452721,0.0278586013541752
"SYR",0.436377831658464,0.0199159810919094,0,3.30187895980387e-06,0.00127194434470324,0.00105876270675431,0.541372178319209
"SOL",0,0.465418237131787,0,0.00228459210674984,0.525656940690989,0.00048588755950283,0.00615434251097109
"FRA",0.164910452104901,0.187079089555174,0.113096660244992,0.00285386421216306,0.00653268622782042,0.0100217001025124,0.515505547552436
"SUR",0,0.00078210209334207,0,0.998103815506456,0,0.00111408240020208,0
"GUY",0,0.0186975890078631,0,0.981215099809602,8.73111825349685e-05,0,0
"KOR",0.0611651559358278,0.0141038565566815,0.000917018080286489,0.85127768891978,0.00118135575860798,0.0700544683158932,0.00130045643292275
"PRK",0.0280228307818024,0.351173015972573,0,0.373307414075595,0.00702466180091613,0.199536113674147,0.0409359636949669
"MAR",0.407319585059691,0.0541947295338301,0.000168031780573597,0.00127820654723971,0.00453806062413035,0.000234814043772145,0.532266572410763
"SAH",NA,NA,NA,NA,NA,NA,NA
"CRI",0,0.153453525983333,0,0.846546474016667,0,0,0
"NIC",0,0.693114298326693,0,0.181283302788498,0.108850074086129,0.0167369940608456,1.53307378342191e-05
"COG",0,0.819858464448969,0,0.170535200310851,0.00600126271565975,0.00360507252452009,0
"COD",0.000366736880324812,0.731842782457591,0,0.210366870837094,0.0419632187320393,0.0117567805340359,0.00370361055891489
"BTN",0.0386695867131249,0.533851712937397,0.000173184929140534,0.304849009495385,8.65719531128664e-05,0.0157766104951047,0.106593323476735
"UKR",0.364276510865013,0.124115617599521,0.00961149736099291,0.00202868279038115,0.00105290847907073,0.00684057032882963,0.492074212576192
