"partner","Diesel"
"ABW",1.35
"AFG",1.21
"AGO",0.42
"ALB",1.79
"ARE",0.64
"ARG",1.33
"ARM",1.15
"ATG",1.07
"AUS",1.57
"AUT",1.81
"AZE",0.57
"BDI",1.47
"BEL",1.98
"BEN",1.26
"BFA",1.28
"BGD",0.76
"BGR",1.68
"BHR",0.17
"BIH",1.62
"BLR",0.9
"BLZ",1.21
"BOL",0.54
"BRA",1.02
"BRB",1.07
"BRN",0.26
"BTN",0.86
"BWA",1.25
"CAF",1.69
"CAN",1.23
"CHE",2.06
"CHL",1.24
"CHN",1.28
"CIV",1.2
"CMR",1.01
"COD",1.48
"COG",0.92
"COL",1.18
"COM",1.22
"CPV",1.58
"CRI",1.36
"CUB",1.3
"CUW",0.011
"CYP",1.78
"CZE",1.87
"DEU",1.88
"DJI",1.18
"DMA",1.07
"DNK",1.89
"DOM",1.35
"DZA",0.17
"ECU",0.29
"EGY",0.18
"ERI",1.71
"ESP",1.75
"EST",1.76
"ETH",0.94
"FIN",1.95
"FJI",1.29
"FRA",1.78
"FRO",2.27
"FSM",1.01
"GAB",0.91
"GBR",2.27
"GEO",1.37
"GHA",0.95
"GIN",1.34
"GMB",1.53
"GNB",1.435
"GRC",2.08
"GRD",1.07
"GTM",1.04
"GUY",1.05
"HKG",1.57
"HND",1.15
"HRV",1.7
"HTI",1.03
"HUN",1.91
"IDN",0.47
"IND",0.86
"IRL",1.98
"IRN",0.124
"IRQ",0.911571429
"ISL",2.06
"ISR",2.12
"ITA",2.18
"JAM",1.19
"JOR",0.97
"JPN",1.61
"KAZ",0.67
"KEN",1.26
"KGZ",0.8
"KHM",1.27
"KIR",1.29
"KNA",1.07
"KOR",1.63
"KWT",0.2
"LAO",1.18
"LBN",0.94
"LBY",0.1
"LCA",1.07
"LKA",0.93
"LSO",1.31
"LTU",1.7
"LVA",1.77
"MAC",1.57
"MAR",0.96
"MDA",1.4
"MDG",1.22
"MEX",0.85
"MKD",1.55
"MLI",1.25
"MLT",1.75
"MMR",0.8
"MNE",1.75
"MNG",1.22
"MOZ",1.23
"MRT",1.27
"MUS",1.38
"MWI",1.9
"MYS",0.59
"MYT",NA
"NAM",1.31
"NER",1.12
"NGA",1.09
"NIC",1.19
"NLD",1.95
"NOR",2.35
"NPL",1.09
"NRU",1.29
"NZL",1.24
"OMN",0.38
"PAK",1.2
"PAN",1.02
"PER",1.41
"PHL",1.01
"PLW",1.01
"PNG",0.47
"POL",1.73
"PRK",1.31
"PRT",1.89
"PSE",NA
"PYF",0.85
"QAT",0.27
"ROU",1.73
"RUS",1
"RWA",1.73
"SAU",0.067
"SDN",0.51
"SEN",1.53
"SGP",1.26
"SLB",1.29
"SLE",1.05
"SLV",1.17
"SOM",1.1
"SRB",1.8
"STP",0.91
"SUR",1.52
"SVK",1.85
"SVN",1.77
"SWE",2.16
"SWZ",1.34
"SYR",0.36
"TCD",1.16
"TGO",1.22
"THA",0.97
"TJK",0.91
"TKM",0.2
"TLS",1.43
"TON",0.85
"TTO",1.07
"TUN",0.69
"TUR",2.33
"TUV",1.29
"TZA",1.27
"UGA",1.35
"UKR",1.25
"URY",1.88
"USA",1.05
"UZB",0.87
"VCT",1.07
"VEN",0.011
"VNM",1.06
"VUT",1.29
"WSM",0.85
"YEM",0.47
"ZAF",1.42
"ZMB",1.48
"ZWE",1.4
