group,P,N,K
ANZ,0.95,0.36,0.35
Balkans,0.27,0.32,0.38
Baltic,0.44,0.29,0.32
Brazil,0.32,0.3,0.31
Canada,0.38,0.39,0.32
China,0.38,0.37,0.67
Congo basin,0.68,0.44,0.46
Continental SEA,0.31,0.33,0.28
East Africa,0.46,0.39,0.43
East Europe,0.29,0.3,0.34
Former USSR,0.65,0.35,0.35
India,0.15,0.27,0.3
Insular SEA,0.32,0.35,0.38
Japan,0.36,0.36,0.39
Mexico,0.36,0.31,0.33
"Mid. east, North Africa",0.37,0.33,0.44
North Europe,0.35,0.42,0.34
Pacific islands,0.36,0.42,0.4
Rest of Centr. America,0.5,0.39,0.36
Rest of Europe,0.43,0.36,0.45
Rest of South Africa,0.4,0.5,0.72
Rest of South America,0.41,0.35,0.35
Rest of South Asia,0.32,0.34,0.78
South Africa,0.31,0.32,0.31
South Europe,0.3,0.39,0.4
South Korea,0.2,0.33,0.37
Turkey,0.34,0.29,0.31
United States,0.36,0.33,0.33
West Africa,0.41,0.4,0.53
West Europe,0.38,0.43,0.4
World bank,0.377,0.278,0.296
