"ADM0_A3","meat","methane","manure"
"ABW",0.0133388962701319,0.416988449513877,0.13079796220741
"AFG",0.00605759774072818,0.442055484428745,0.147410511386435
"AGO",0.00720323567567414,0.422001424654245,0.144248566398952
"ALB",0.0128516420700307,0.387539546113642,0.143068473342943
"ARE",0.0106857728942967,0.354215372508599,0.162591924735446
"ARG",0.00753645530105691,0.386127226753253,0.154825129076212
"ARM",0.0132726088069029,0.402392712390214,0.130611914381818
"ATG",0.00419117599720159,0.375814123281349,0.148183308591425
"AUS",0.00891343323866062,0.482148175560848,0.185521643255391
"AUT",0.0126934128176862,0.409898080695999,0.131956626910623
"AZE",0.0126430667355701,0.409759196947482,0.132724977439986
"BDI",0.00407230215509237,0.542482071875682,0.1415428546141
"BEL",0.0126617592552,0.409732161112247,0.132044558324224
"BEN",0.00363698575522679,0.442801113238206,0.125107704221682
"BFA",0.00345664686145429,0.452319870248726,0.125107769128954
"BGD",0.000478727671235712,0.402878983642815,0.147451219357627
"BGR",0.0150458882702032,0.419947488693239,0.131711210036127
"BHR",0.0106858460064663,0.354174662358463,0.162616404535002
"BIH",0.011893253501817,0.398582247152471,0.145054343331557
"BLR",0.00958785023313845,0.438213843451302,0.137135045897585
"BLZ",0.00419117599720159,0.375814123281349,0.148183308591425
"BOL",0.00729569286898294,0.387364043847351,0.154630705511294
"BRA",0.00551629044535634,0.405222604516035,0.15525406952893
"BRB",0.00419117599720159,0.375814123281349,0.148183308591425
"BRN",0.0035483459231153,0.45293542074364,0.141956527037419
"BTN",0.00133354765083965,0.411680385514237,0.144427944679316
"BWA",0.00831139602391195,0.431861624398051,0.144248566097233
"CAF",0.00362552565717624,0.43115975261173,0.144738114944269
"CAN",0.00971982703331443,0.413455052159262,0.152328030820097
"CHE",0.0117655386227057,0.408064929879899,0.218370751665222
"CHL",0.00737568211380388,0.387953233828279,0.155057742711455
"CHN",0.00368021139472459,0.425081457434766,0.14278048273601
"CIV",0.00370951244459598,0.43897296547462,0.125107678117998
"CMR",0.00364860848720352,0.43214180205278,0.144844871088568
"COD",0.0034092808801911,0.422693731757895,0.143642471453001
"COG",0.00338934504487302,0.421654248575572,0.143575169437868
"COL",0.00548385451711825,0.400324911928727,0.154491566238354
"COM",0.00571219211355769,0.416462380647409,0.144248562147637
"CPV",0.00342045985411588,0.454229914846353,0.125107782153321
"CRI",0.0038776997646616,0.382270784719453,0.147687010056796
"CUB",0.00428054769310009,0.375432520109856,0.148277635833176
"CUW",0.0133388962701319,0.416988449513877,0.13079796220741
"CYP",0.0143405515409269,0.39302250336237,0.130797981160171
"CZE",0.0134630320730864,0.413091294379743,0.131478724292043
"DEU",0.0126768403316898,0.409849305827071,0.13200918392559
"DJI",0.00342045985411588,0.454229914846353,0.125107782153321
"DMA",0.00377297803423066,0.384427735353721,0.14752121362325
"DNK",0.0126617592552,0.409732161112247,0.133990583591237
