"ADM0_A3","barley","cassava","groundnut","maize","millet","oilpalm","potato","rapeseed","rice","rye","sorghum","soybean","sugarbeet","sugarcane","sunflower","wheat"
"CHL",0.00494566558621706,0,0,0.117477451376413,0,0,0.000875596031977564,0,0.00889131579415786,0.00380506627603701,0,1,1.53592159472694e-05,0,1,2.087416220059e-05
"BOL",3.02349392209006e-05,0,0.336321613048179,0.00797553765048182,0,0,4.37833022718705e-05,0,0.00170330367641542,0,0.00408709504727236,0.0251099803256088,0,0,0.0242302945532335,3.84219786012632e-07
"PER",0.000403533926900258,0,0.0654228680256754,0.00886345377229542,0,0.259953488372093,2.28263887793182e-05,0,0.00252949288143125,0.0161857846586911,0.0252572497661366,0.018679037968502,0,0,0,0.00363547573184297
"ARG",0.134016044604016,0,0.486722670181801,0.123950568031049,0.171627621994115,0,0.0027008176478374,0,0.162710427050131,0.00203452554150503,0.0677872975510231,0.0730263870757461,0,0,0.0264415428894942,0.125599535218551
"CYP",3.2476033702004e-05,0,0.440876656472987,0,0,0,0.466027079425792,0,0,0,0,0,0,0,0,0.000369904184541088
"IND",0.0265181976265292,0,0.0695811424997284,0.0269280068071811,0.0026645241129643,0,0.000952158227547712,0,0.0294986465893192,0,0.00412017204038679,0.00536918698878968,0,0,0.00592602679459918,0.00445731104707536
"CHN",0.00165381413730705,0,0.02494308883097,0.00106424358213598,0.00431010782267665,0.0170111022919913,0.00178937647749913,0,0.00204040354451592,5.75131401839919e-06,0.00696463434423905,0.0133190958943713,9.64633338967771e-05,0,0.115009888456855,0.000478308575778703
"ISR",0.17755274020539,0,0.0119655028396003,0.0922766546777461,0,0,0.163714255833414,0,0,0,2.84480702360971e-05,0,1,0,0.756526701222122,0.00542334318045395
"LBN",0.0137485626388823,0,0.0263551652615394,0.0694299366596288,0,0,0.0541133978174313,0,0,0,0,0,2.25158286275252e-05,0,1,0.0293247902499749
"ETH",1.02176140232836e-05,0,0.00997534418237529,0.000730864981614663,0.000164399410589641,0,0.0226879183036927,0,7.1389580777746e-05,0,0.000732453214700847,0.245856619318235,0,0,0,0.000930951706802858
"KEN",0.0283492561828823,0,0.00113912085722211,0.00153554562901272,0.000709082824017107,0,0.000370417832414943,0,0.0126030481078769,0,0.0153256212854662,0.318613964826746,0,0,0.0450469476868632,0.0046210278619146
"PAK",0.00276595347641372,0,0.00491538715066656,0.00532795100313342,0.000336267313283936,0,0.0197079745857442,0,0.181974012236825,0,9.85559210989455e-05,0.0836363636363636,0.00100746527589081,0,1.29621383563399e-05,0.00295728953415266
"TZA",0.0129678098270419,0,0.00430894655332827,0.0035964127094896,0.000905148549472782,1,0.00111484426811049,0,0.00315103229136616,0,0.000747461373214895,0.10617786156034,0,0,0.000572079104159213,0.0997584302701072
"SYR",1.24167724092222e-05,0,0.0106775558155729,0.000827111340553299,0,0,0.0220669269086995,0,1,0,0.00216845822620117,0.0275045171652279,3.26269515922323e-05,0,0.164368026597543,0.0128745195794377
"FRA",0.110668951224221,0,0,0.130677020264047,0.26902934445817,0,0.0798013249806656,0,0.654159087797532,0.0580247533692352,0.0956448701925956,0.133053978260766,1.39884462318203e-05,0,0.202031189723273,0.117575527170583
"KOR",0.00143887975994856,0,0.0243374718652436,0.0106621128496091,0.0446618067730922,0,0.000695465126586897,0,0.000631257649479927,0.024390243902439,0.00628225925379737,0.00315368666771728,0,0,0,0.000242408571567091
"PRK",0,0,0,0,0,0,4.23687881001327e-08,0,3.09399648431883e-06,0,0,2.52105597408905e-06,0,0,0,0
"MAR",1.51217127759193e-06,0,9.32507007790163e-06,0.00618266354478265,0.000447856685860525,0,0.00794475541404607,0,0.0201946625231245,0,0.000295897231830379,0.00236611720167206,0,0,0.00108078098371547,2.2625129845681e-05
"COD",0,0,1.76013098649202e-05,0.00322021383099961,9.46525116990504e-06,0.00616839199447895,6.35554676371587e-06,0,1.28196172585536e-05,0,0.00452028477794101,0.000400661893447976,0,0,0,0.0279934747145188
"BTN",0,0,0,2.01015328423869e-06,0,0,0.0549745470379921,0,0.00167973067881474,0,0,0.0716186789257198,0,0,0,0
"UKR",0.0764462868109217,0,0,0.104669106780074,0.0670239767378823,0,8.21711686238377e-05,0,0.0296732156038839,0.00581426193165383,0.100660496463118,0.201852009771537,3.4863515233895e-07,0,0.0108689231112014,0.0764456542228349
"BLR",0.000260361208756408,0,0,0.000370100407034269,0.000117730162467624,0,0.00323350899781529,0,0,0.000903041126864313,0,0,9.77372543300823e-05,0,0.0222059340478523,0.000705078089381454
"ZAF",0.000604220873084707,0,0.254402544195206,0.0363489765068314,0.0436558913341055,0,0.013035402287605,0,1,0.0820847533920648,0.0274062988027069,0.0312259014847985,0,0,0.0104296099699977,0.021896093553525
"OMN",0.0256848818669372,0,0,0.0215637952279601,0,0,0.0312905799708998,0,0,0,0,0,0,0,0,0.828307212359801
"UZB",0.000105538318207907,0,0.642527268141983,0,0,0,3.55418309477792e-05,0,1.80361137104825e-05,0,0,0,0,0,0.00724092927587913,0.00178631788986754
"KAZ",0.0378622072321711,0,1,0.00520351111599327,0.00936485446208428,0,0.00120769220529138,0,0.045576124837508,0.00215294708160046,0,0.0308448934724983,0.00021401717619623,0,0.052334779235744,0.0619097333336896
"TJK",0,0,0.0101704425896051,0,0,0,9.24985516801722e-05,0,0.0237392609726382,0,0.000487329434697856,0,0,0,0.000400717072656332,3.34658985747153e-06
"LTU",0.0631441419226235,0,0,0.138409941386943,0,0,0.0101065252600668,0,0,0.070494166635723,0,0,0.000156304890931734,0,0,0.152374037374928
"BRA",0.00514441392600822,0,0.235464791520383,0.0472446655043199,0,0.236526635514019,0.000407362737231278,0,0.0237621014575046,0.0010711968739156,0.00261374530530195,0.21011290333735,0,0,0.00104896742051154,0.0437302709328393
"URY",0.0271846452467464,0,0.00224598408280846,0.0378683456889496,0,0,0.000271350823790465,0,0.305648169930303,0,0.0108162281779435,0.49501813737087,1,0,0.208522357018199,0.16798942160723
"MNG",0.00464722517427094,0,0,0,0,0,0.00090006898375204,0,0,0,0,0,0,0,0,0.00132045434867504
"RUS",0.0296359012506586,0,0,0.0448092403765724,0.0158395053535121,0,0.000409981564159608,0,0.0777617452343677,0.00415073135067501,0.022778058648957,0.0237963883248252,3.87268553198378e-08,0,0.00655279174543765,0.0609745150872714
"CZE",0.0396346656584725,0,0,0.088893906731061,0.53998865570051,0,0.020538247734918,0,0,0.0534468703346242,0,0.141503702539309,5.87021989373759e-05,0,0.302465680463428,0.0802183710315823
"DEU",0.0423317264511575,0,0,0.0505016457042001,0,0,0.0289445707661558,0,0,0.0268092081686774,0,1,0.000123073085755473,0,0.809181064514842,0.0809237423003567
"EST",0.0890986354268572,0,0,0,0,0,0.00404836159749234,0,0,0.0609823802152119,0,0,1,0,0,0.0975585880864301
"LVA",0.0842828350688613,0,0,0,0,0,0.00268982720263135,0,0,0.090436312021723,0,1,0.00219220352528526,0,0,0.196859100440034
"NOR",0.000255410884586831,0,0,0,0,1,0.000230669865288799,0,0,0.000696510193716898,0,0,0,0,0,0.000273440059405508
"SWE",0.0574421875851275,0,0,0,0,0,0.00597484045390175,0,0,0.0514568423335502,0,0,7.56068736190735e-06,0,0,0.0542841128032501
"FIN",0.0262371078386931,0,0,0,0,0,0.0109306279066944,0,0,0.0111055051014688,0,0,1.27762872109365e-07,0,0,0.0379571169032072
"LUX",0.0838533907046039,0,0,1,0,0,0.208301599390708,0,0,0.133702885488527,0,0,0,0,0,0.0807714970789421
"ARE",1,0,0,1,0,0,0.713385991682374,0,0,0,1,0,0,0,0,1
"BEL",0.15458568244801,0,0,0.137868862755938,0,0,0.0511511859904732,0,0,0.28046478323135,0,0,0.000178743889943775,0,0,0.126246583226558
"GEO",0.00661247436636614,0,0.289929742388759,0.0149851912242278,0,0,0.00446404838171441,0,0,0,0,0.0474683544303797,0,0,0.0669198172912883,0.135634891349088
"MKD",0.0019700701807249,0,0,0.00211246296377248,0.00436681222707424,0,0.00634814836930779,0,0.156984415302612,0.00027848365649041,0.026431718061674,0.00584063412599082,0,0,0.0622475450421104,0.00170001450979115
"ALB",0,0,0,7.14204741408752e-05,0,0,0.000647267028290102,0,1,0,0,0,0.000213332707035478,0,0.00234526732383011,0.000118806725813833
"AZE",0.000210560193822581,0,0,0.000374825996724796,1,0,0.0214121464045917,0,0.00922132652012393,0,0,0,0.00419250334591858,0,0.00572680813908696,8.77270972601873e-05
"TUR",0.00282645072120807,0,0.0163332290273168,0.00877122234426487,0.00896118443481225,0,0.00332013378885923,0,0.0346838806231692,0.000254177103462313,0.128535980148883,0.145185200235373,1.40326538170404e-08,0,0.0519257573036089,0.00233402533560219
"ESP",0.00633100456677208,0,1,0.019084995190267,0.230863847100009,0,0.0451177578650154,0,0.20017094922412,0.0128616677976237,0.0650275565877756,1,5.58580681982177e-05,0,0.0646439429108287,0.0263881552404904
"KGZ",4.5763901208732e-05,0,0.0643222122031861,6.93686921053735e-05,0.00394811054709532,0,0.00336433574265259,0,0.0126026296147442,0,0.0329457364341085,0.0160535117056856,0.000346807553449717,0,0.00730727853558788,0.000162302449238712
"ARM",0,0,0,0,0,0,0.000981986146173066,0,0,0,0,0,1.89003403951305e-06,0,0,9.47175994771589e-05
"DNK",0.054172325857687,0,0,0.20913062377744,0,0,0.0396080183684147,0,0,0.0211106663998399,0,0,1.11462747736112e-05,0,0,0.0412252309500925
"LBY",0,0,0.000238874055580599,0,0,0,0.00141393539912642,0,0,0,0,0,0,0,0,0.00240212477973287
"TUN",6.31487448160801e-07,0,0,0,0,0,0.0101076223920678,0,0,0,0.0151683556717882,0,0,0,0.0101744961667764,0.00212670866820001
"ROU",0.132236435425578,0,0,0.060719748274462,0,0,0.000428120849959853,0,0.244754375413686,0.0062632676843271,0.0751765863992493,0.162170401827552,5.57050121956563e-06,0,0.247231782883889,0.0974157225450687
"HUN",0.0800295154076072,0,1,0.115890006198139,0.0914438829392614,0,0.00319387213613616,0,0.262368160843771,0.0295594731928142,0.148519014638659,0.186001436577412,0.00420392756302058,0,0.184010779636172,0.0920543461372152
"SVK",0.0538528697881671,0,0,0.0998343222851228,0.156209352740787,0,0.019618811122724,0,0,0.0565814154285884,0.086472177797386,0.36741449980558,0.000782535054379772,0,0.466308865515932,0.088598469145336
"POL",0.00941892106136487,0,0,0.0425265468681402,0.0442649077682925,0,0.000871297126518769,0,0,0.0247783670891013,0,0.609380668566986,1.0157612173139e-05,0,1,0.0407644568344585
"IRL",0.00764508834636038,0,0,0,0,0,0.00792470921749281,0,0,0.0160610847814639,0,0,0.000107228890351676,0,0,0.0165067850666
"GBR",0.0324696216756149,0,0,0,0,0,0.0253657479013815,0,0,0.00425182061808221,0,0,3.35058027160701e-05,0,0,0.0294791150746743
"GRC",0.0024285074841736,0,1,0.00849712165373594,0.0177638453500522,0,0.0109994116986554,0,0.294053370626492,0.000776287768717225,0.0906550760633344,0.0942121241798061,2.94659325571329e-05,0,0.0438574263292699,0.0616009566749106
"ZMB",0.335830312485661,0,0.00217119737755268,0.0495018872452061,0.000338270148772102,0,0.00158290964118604,0,0.0140262238235852,0,0.0062065517794316,0.0430365259827897,0,0,0.00344475731423755,0.00313933975601926
"ERI",0,0,0,0.0015439009515036,0.000234347766226386,0,0,0,0,0,0,0,0,0,0,0
"AUT",0.0257449572446401,0,0,0.0798302339966345,0.507458411895272,0,0.031150373606933,0,0,0.023030667924786,0.0457504438475896,0.329144048492336,0.00217822663624635,0,1,0.125962497248063
"IRQ",1.7528718743459e-06,0,3.51796802167068e-05,4.3824320569646e-07,0,0,2.93611294570195e-06,0,0.000107129891568658,0,0,0,0,0,0,2.77794229369362e-05
"ITA",0.00368314262136719,0,1,0.00628650338425286,0,0,0.0518161963171646,0,0.410602248405802,0.217738359201774,0.00620872310300596,0.0511677658013948,4.06517910618755e-06,0,0.0773618927927436,0.0182151271022982
"CHE",0.000940021811965758,0,0,0.00280161515457416,0.147804576376005,0,0.00273045507584597,0,0,0.00158452004484997,0,0.0862813325600876,2.2164701463636e-06,0,0.0115265636391102,0.000940791027824514
"IRN",0.000153723812952346,0,0.00844122699655874,0.00013004570589491,0.00941239129835903,0,0.0134934311812639,0,0.000292499686596201,0.000193535900909619,0,0.00352162124207365,1.74621660979539e-06,0,0.0148288492749033,0.00237284692472697
"NLD",0.190328077314344,0,0,0.77918006944007,0,0,0.104134488269199,0,0,0.965604977249512,0,0,0.00192603598106133,0,0,0.11599047383313
"SRB",0.0138894173749422,0,0,0.0544526762446618,0.14832254267216,0,0.00284523081656736,0,0,0.00469808116941952,0.00146656451789428,0.0467758202093906,0.0020031659785442,0,0.0553290998389976,0.0404319249924589
"HRV",0.0117189368791956,0,0,0.0294112156983773,0.0209658421672556,0,0.00533178763113764,0,0,0.0208387999650136,0.0172695687717147,0.222477119873401,6.66358914062935e-05,0,0.192703576239957,0.0680365218713184
"SVN",0.019654626056413,0,0,0.110031199618249,0.0740671641791045,0,0.0587974646813677,0,0,0.0083429351768873,0,1,0.0128264058867017,0,1,0.0861642487311727
"QAT",0.096547659971517,0,0,0.019647559246506,0,0,0.190871369294606,0,0,0,0,0,0,0,0,0.35230352303523
"SAU",0.0026494797844873,0,0.10798760892852,0.00434926661040932,0.000875554517861312,0,0.027183445452585,0,1,0,5.62904092576614e-05,0,0,0,0,0.000296690324381987
"ZWE",8.59932140793521e-05,0,0.00282935701124595,0.000851981019727532,0.000306340486986238,0,0.00722522466545008,0,0.344937428896473,0,0.000602308777835037,0.00235951399435886,0,0,0.00135794682984756,0.00765051005095932
"BGR",0.105254842339171,0,1,0.0932450679816905,0.151230891403613,0,0.00166532164850812,0,0.384880422212141,0.00713074785465858,0.0232247603605322,0.113738026791359,0.00334808259587021,0,0.266305074028098,0.115328616418676
"THA",0.00166752701393763,0,0.158071736049008,0.0333806334002232,0,0.200487091319401,0.00171887565164203,0,0.140490567889303,0,0.0173604850176029,0.0193510470206673,0,0,0.0159789473684211,0.270121869559395
"KWT",0.0148534725010036,0,0,0.00022654282325662,0,0,0.0128411138968419,0,0,0,0,0,0,0,0,0.933360096346849
"GTM",0.248322147651007,0,0.0292647855069634,0.00346678326544792,0,1,0.0153699704046248,0,0.0452534138308389,0,0.00817258443130694,0.00631616367461836,0,0,0,0.18246541903987
"DZA",0,0,0.00089544684744311,0,0,0,5.16510329613155e-05,0,0.0668970624537151,0,0,0,0,0,0,1.48356299729217e-06
"RWA",1,0,0.00191683958790991,0.00180374580972737,5.0366838473549e-05,0,0.000278567207470886,0,0.0772633333521041,0,9.25492156692501e-05,7.63715859514468e-05,0,0,0,0.001432877786339
"MMR",1,0,0.00451537495282461,0.0137749346432612,0.000175545551068214,0,0.000467101882437801,0,0.00611332573376217,0,0.000152781987496519,0.00711490558537467,0,0,6.43980461632794e-06,0.00011760846285739
"BGD",0,0,0.000771962560568213,1.89451195071671e-06,3.33559412490688e-05,0,0.00119478789693405,0,9.65439224823251e-05,0,0.00396563119629874,0.000120131950336802,0,0,0,9.35500482814009e-06
"AFG",0,0,0,0.000222570425694442,0,0,0.0124301561190906,0,1.11239931505476e-05,0,0,0,7.84141521861866e-06,0,0.000383867335448869,0
"MNE",0.0012202562538133,0,0,0.0116643042759272,0,0,0.000916101095744944,0,0,0,0,0,0,0,0,0.00683589081696066
"BIH",0.000315007450457115,0,0,0.00598538696613851,0,0,0.00371735164008741,0,0,0.00290855128918568,0,0.0248765064665002,0.0668373151308305,0,1,0.0229601732404613
"ECU",0.00620802937339968,0,0.00182448312950643,0.00206465641778414,0,0.786573526428521,0.00508979236718132,0,0.011980329442756,0,1.82349758994402e-05,0.00487589035804572,0,0,0.0111013730645632,3.23028717252964e-05
"COL",0.000399594485596099,0,0.13101106639839,0.00481907806800694,0,0.360093140647707,0.00221559333564577,0,0.000185597114897479,0,0.000192483749008852,0.00297737649913947,2.09963466356854e-05,0,1,7.71357937080333e-06
"PRT",0.12367751018452,0,1,0.0195955900804456,1,0,0.042931351723602,0,0.1286806323071,0.000908352257338695,0,0,0.00100118948985523,0,0.363012312362962,0.113489220281458
"MDA",0.0795926912226876,0,0,0.0209670323682173,0.013116236996834,0,0.00363483397370004,0,0,0.000704572676671599,0.396517270910648,0.176654719888238,0,0,0.201575985429228,0.0469529507672444
"TKM",0,0,0,0,0,0,1.74569018188928e-06,0,3.224629379768e-05,0,0,0,0,0,0,0.00111486418014995
"JOR",0.0107741024339652,0,1,0.22360777571765,0.369565217391304,0,0.0478071021881919,0,0,0,0.000367202486847187,1,0,0,1,0.068569504713452
"NPL",0,0,0,1.25856021782196e-05,0.00012224150864512,0,1.96575338487734e-05,0,2.57578370700938e-05,0,0,0.000226851908621599,0,0,0,0.000751586018575757
"LSO",0,0,0,0.000105524972855089,0,0,7.06665837512084e-07,0,0,0,2.6682142309206e-05,0,0,0,0,0.000272001934235977
"USA",0.0171100917022197,0,0.122136447705301,0.0296966142837531,0.0664559640667877,0,0.00905997026425054,0,0.202702513539319,0.0160210703562142,0.103107304896414,0.188378920507124,3.12820471743277e-06,0,0.189655282152816,0.127506724822597
"CAN",0.0425969250665041,0,0,0.0215193359944277,0,0,0.0404428070331353,0,0,0.130331479296741,0,0.280817022586084,0.0084295699370214,0,0.447692753623188,0.184623817039209
"MEX",5.52540569460992e-05,0,0.155094150448434,0.00796692691980232,0.0166998621112303,0.0394364466292135,0.000408416463295673,0,0.0275235130038875,0,0.00010967971375206,0.00109656373120205,0,0,0.0136851129911516,0.069686511219419
"EGY",0.0114000514802946,0,0.0663797477654536,0.000363234801693508,0,0,0.0451754866726354,0,0.0331341009991787,0.000164064734504656,0.000990552158317702,0.00811746189097296,3.365035173119e-05,0,0.0977655816702936,0.000141528119536791
"YEM",0.00367723756567986,0,0,0.0447017207341301,0.00404816578222554,0,0.00134385919960418,0,0,0,0,0,0,0,0,0.00552804804356239
"MRT",0,0,0,0,0,0,0,0,6.91446461547428e-06,0,0,0,0,0,0,0
