region,glps,solcho,solcp,Ash,degNDF,degCP,CP,Fat,ME,NDF,k1,k4,k2,k5,starch,grass,grain,stover,occasional
CIS,LGA,120,0.3,100,0.6,0.5,104,35,9,661,0.3,0.15,0.06,0.07,,100,,,
CIS,LGT,207,0.3,100,0.6,0.5,139,11,10,580,0.3,0.2,0.04,0.073,0.9,,4,,96
CIS,MRA,85,0.5,98,0.6,0.4,146,27,10,635,0.3,0.15,0.064,0.086,,65,,35,
CIS,MRH,127,0.5,99,0.6,0.4,147,30,11,593,0.3,0.18,0.058,0.098,0.9,50,17,33,
CIS,MRT,145,0.5,99,0.6,0.4,145,32,11,571,0.3,0.18,0.059,0.102,0.9,50,21,29,
CIS,Other,120,0.3,100,0.6,0.5,104,35,9,661,0.3,0.15,0.06,0.07,,100,,,
CIS,URBAN,120,0.3,100,0.6,0.5,104,35,9,661,0.3,0.15,0.06,0.07,,100,,,
EAS,LGA,100,0.3,100,0.6,0.5,90,10,8.4,700,0.3,0.15,0.044,0.07,,100,,,
EAS,LGH,83,0.3,100,0.8,0.5,121,10,8.8,686,0.3,0.15,0.042,0.07,,100,,,
EAS,LGT,161,0.3,100,0.6,0.5,162,17,9.9,551,0.3,0.16,0.046,0.078,0.9,91,9,,
EAS,MRA,77,0.3,100,0.6,0.5,129,14,8.4,740,0.3,0.15,0.039,0.07,0.9,56,0,44,
EAS,MRH,124,0.3,100,0.6,0.5,123,16,8.7,687,0.3,0.16,0.044,0.076,0.9,44,8,47,
EAS,MRT,147,0.3,100,0.6,0.5,168,16,9.7,587,0.3,0.16,0.045,0.077,0.9,76,8,16,
EAS,Other,127,0.3,100,0.7,0.5,124,15,9.5,629,0.3,0.15,0.051,0.073,0.9,98,2,,
EAS,URBAN,133,0.4,100,0.7,0.5,128,14,9.6,620,0.3,0.16,0.054,0.073,0.9,98,2,,
EUR,LGA,153,0.3,100,0.6,0.5,119,25,9.5,630,0.3,0.17,0.052,0.07,,58,,,42
EUR,LGH,130,0.4,100,0.6,0.5,118,31,9.3,634,0.3,0.16,0.066,0.07,,99,,,1
EUR,LGT,159,0.5,71,0.7,0.4,105,28,10,641,0.3,0.17,0.067,0.08,0.7,86,11,,3
EUR,MRA,255,0.4,99,0.6,0.4,131,22,11,493,0.3,0.19,0.062,0.112,0.9,26,8,,66
EUR,MRH,138,0.6,84,0.7,0.3,132,33,11,549,0.3,0.17,0.074,0.1,0.7,80,10,,9
EUR,MRT,151,0.6,83,0.8,0.3,142,37,12,523,0.3,0.18,0.077,0.099,0.7,77,19,,4
EUR,Other,176,0.3,98,0.6,0.5,119,30,9.8,591,0.3,0.17,0.061,0.085,0.7,68,6,,26
EUR,URBAN,186,0.3,98,0.6,0.5,120,35,9.9,576,0.3,0.18,0.065,0.085,0.8,72,13,,16
LAM,LGA,91,0.3,100,0.5,0.5,104,10,8.4,697,0.3,0.15,0.045,0.07,,80,,,20
LAM,LGH,134,0.3,100,0.6,0.5,135,10,9.5,624,0.3,0.16,0.042,0.07,,82,,,18
LAM,LGT,120,0.3,100,0.6,0.5,126,10,9.3,642,0.3,0.15,0.043,0.07,,100,,,
LAM,MRA,96,0.3,100,0.5,0.5,148,10,8.6,726,0.3,0.16,0.036,0.07,,5,,50,46
LAM,MRH,202,0.3,100,0.6,0.5,113,10,9.3,583,0.3,0.18,0.053,0.08,0.7,70,0,,29
