ADM0_A3,beef_frac
IDN,0.8819544513236051
MYS,0.9413704333306286
CHL,0.5663252066617378
BOL,0.4023517514245077
PER,0.32184354994008924
ARG,0.35108918722226506
ESB,0.0
CYP,0.0
IND,0.6676022056099752
CHN,0.8762468111545935
ISR,0.0
PSX,0.0
LBN,0.0
ETH,0.6323409849358536
SDS,0.5360371785375089
SOM,0.5647230028074984
KEN,0.5588308623830824
PAK,0.49998736009140776
MWI,0.416164585905516
TZA,0.6465087101387322
SYR,0.0
SOL,0.28010583213989126
FRA,0.0
SUR,0.0
GUY,0.0
KOR,0.0
PRK,0.5447219996031193
MAR,0.0
SAH,0.0
CRI,0.0400671995259748
NIC,0.682752470353564
COG,0.8036756900399922
COD,0.601581429807082
BTN,0.6444675514034659
UKR,0.4959815571168305
BLR,0.49598159500427663
NAM,0.5291067941722694
ZAF,0.6357964471794314
MAF,0.0
SXM,0.0
OMN,0.0
UZB,0.48790224508817764
KAZ,0.4961110611876827
TJK,0.47816263000499526
LTU,0.4959815840115665
BRA,0.43848581361376426
URY,0.0
MNG,0.5657386653482804
RUS,0.4960904172262173
CZE,0.0
DEU,0.0
EST,0.0
LVA,0.4959816122768531
NOR,0.0
SWE,0.0
FIN,0.0
VNM,0.9807888656031378
KHM,0.983114418261336
LUX,0.0
ARE,0.0
BEL,0.0
GEO,0.4740400350420082
MKD,0.0
ALB,0.0
AZE,0.4791611746430231
KOS,0.0
TUR,0.0
ESP,0.0
LAO,0.9818263103941215
KGZ,0.4935900907888447
ARM,0.4815943246126082
DNK,0.0
LBY,0.0
TUN,0.0
ROU,0.4959816039815812
HUN,0.0
SVK,0.0
POL,0.49598159630516364
IRL,0.0
GBR,0.0
GRC,0.0
ZMB,0.527791768645458
SLE,0.8359617559560902
GIN,0.9011425775408358
LBR,0.020313463063104966
CAF,0.912801361132184
SDN,0.5674771939988492
DJI,0.5004162032024985
ERI,0.5831551858181172
AUT,0.0
IRQ,0.0
ITA,0.0
CHE,0.0
IRN,8.088080086771946e-05
NLD,0.0
LIE,0.0
CIV,0.789818553677313
SRB,0.0
MLI,0.78443666819066
SEN,0.7194286330915153
NGA,0.6664429769177002
BEN,0.8289505350629716
AGO,0.6084399035932339
HRV,0.0
SVN,0.0
QAT,0.0
SAU,0.0
BWA,0.46009028152874176
ZWE,0.5561109258562006
BGR,0.0
THA,0.9598003951980293
SMR,0.0
HTI,0.411915885815539
DOM,0.45612249783614606
TCD,0.830075042331206
KWT,0.0
SLV,0.11825896733705007
GTM,0.4896844628791357
TLS,0.9323139456420148
BRN,0.9233001018145306
MCO,0.0
DZA,0.0013631028577772936
MOZ,0.2641219695061272
SWZ,0.6508994901989145
BDI,0.41259189821192654
RWA,0.5636179719531792
MMR,0.9459522319235356
BGD,0.7583738771875908
AND,0.0
AFG,0.4134693427955222
MNE,0.0
BIH,0.0
UGA,0.6023793838540761
USG,0.0
CUB,0.052025672671502515
HND,0.33648726417361563
ECU,0.4815735051657734
COL,0.039053904483057886
PRY,0.29020697816785623
PRT,0.0
MDA,0.49598161095087184
TKM,0.48748774941225914
JOR,0.0
NPL,0.6307138322284213
LSO,0.8022902493198667
CMR,0.8700235095083892
GAB,0.0
NER,0.7350619033401196
BFA,0.7465768414978232
TGO,0.5088268550734023
GHA,0.6722076715585966
GNB,0.8363674384679585
GIB,0.0
USA,0.9999893408585679
CAN,1.0
MEX,0.8772386079250928
BLZ,0.0
PAN,0.0
VEN,0.2537775143612698
PNG,1.0
EGY,0.0
YEM,0.0
MRT,0.5396290447568691
GNQ,0.0
GMB,0.8681849928868889
HKG,0.0
VAT,0.0
CYN,0.0
CNM,0.0
KAS,0.0
KAB,0.0
WSB,0.0
AUS,0.0
GRL,0.0
FJI,0.0
NZL,0.0
NCL,1.0
MDG,0.6754488285152682
PHL,0.9052294869526897
LKA,0.7602965292548782
CUW,0.0
ABW,0.0
BHS,0.0
TCA,0.0
TWN,0.0
JPN,0.0
SPM,0.0
ISL,0.0
PCN,0.0
PYF,0.0
ATF,0.0
SYC,0.0
KIR,0.0
MHL,0.0
TTO,0.0
GRD,0.0
VCT,0.0
BRB,0.0
LCA,0.0
DMA,0.0
UMI,0.0
MSR,0.0
ATG,0.0
KNA,0.0
VIR,0.0
BLM,0.0
PRI,1.0
AIA,0.0
VGB,0.0
JAM,0.0
CYM,0.0
BMU,0.0
HMD,0.0
SHN,0.0
MUS,0.0
COM,0.0
STP,0.0
CPV,0.0
MLT,0.0
JEY,0.0
GGY,0.0
IMN,0.0
ALD,0.0
FRO,0.0
IOA,0.0
IOT,0.0
SGP,0.0
NFK,0.0
COK,0.0
TON,0.0
WLF,0.0
WSM,0.0
SLB,0.0
TUV,0.0
MDV,0.0
NRU,0.0
FSM,0.0
SGS,0.0
FLK,0.0
VUT,0.0
NIU,0.0
ASM,0.0
PLW,0.0
GUM,0.0
MNP,0.0
BHR,0.0
CSI,0.0
PGA,0.0
CLP,0.0
MAC,0.0
ATC,0.0
BJN,0.0
SER,0.0
SCR,0.0
,0.0
