"region","group","ADM0_A3","mean"
"EUR","Baltic","EST",0.0437204629907501
"EUR","Baltic","LVA",0.0457402658940373
"EUR","Baltic","LTU",0.0424934503943347
"EUR","East Europe","BGR",0.0236155976573711
"EUR","East Europe","CZE",0.0288669005860856
"EUR","East Europe","HUN",0.0255268810976575
"EUR","East Europe","POL",0.0440166799666992
"EUR","East Europe","ROU",0.0566009015127242
"EUR","East Europe","SVK",0.0351304636788153
"EUR","East Europe","SVN",0.0227792969874467
"EUR","West Europe","LIE",0.0287078257061411
"EUR","West Europe","AUT",0.0144695481785081
"EUR","West Europe","BEL",0.0270637734052133
"EUR","West Europe","DEU",0.0321259252460132
"EUR","West Europe","MCO",0.0287078257061411
"EUR","West Europe","FRA",0.0289091572706056
"EUR","West Europe","MAF",0.0287078257061411
"EUR","West Europe","NCL",0.0287078257061411
"EUR","West Europe","SPM",0.0541827455963946
"EUR","West Europe","PYF",0.0287078257061411
"EUR","West Europe","ATF",0.0287078257061411
"EUR","West Europe","BLM",0.0287078257061411
"EUR","West Europe","WLF",0.0287078257061411
"EUR","West Europe","CLP",0.0287078257061411
"EUR","West Europe","LUX",0.0139770070423132
"EUR","West Europe","SXM",0.0287078257061411
"EUR","West Europe","NLD",0.0302266232039398
"EUR","West Europe","CUW",0.0287078257061411
"EUR","West Europe","ABW",0.0287078257061411
"EUR","North Europe","DNK",0.0315846624174675
"EUR","North Europe","GRL",0.0456217010608357
"EUR","North Europe","FRO",0.0456217010608357
"EUR","North Europe","FIN",0.0405052380638428
"EUR","North Europe","ALD",0.0456217010608357
"EUR","North Europe","IRL",0.0408191515406913
"EUR","North Europe","SWE",0.047131235406987
"EUR","North Europe","ESB",0.0456217010608357
"EUR","North Europe","GBR",0.0492220198524438
"EUR","North Europe","GIB",0.0456217010608357
"EUR","North Europe","WSB",0.0456217010608357
"EUR","North Europe","TCA",0.0456217010608357
"EUR","North Europe","PCN",0.0456217010608357
"EUR","North Europe","MSR",0.0456217010608357
"EUR","North Europe","AIA",0.0456217010608357
"EUR","North Europe","VGB",0.0456217010608357
"EUR","North Europe","CYM",0.0456217010608357
"EUR","North Europe","BMU",0.0456217010608357
"EUR","North Europe","SHN",0.0456217010608357
"EUR","North Europe","JEY",0.0456217010608357
"EUR","North Europe","GGY",0.0456217010608357
"EUR","North Europe","IMN",0.0456217010608357
"EUR","North Europe","IOT",0.0456217010608357
"EUR","North Europe","SGS",0.0456217010608357
"EUR","North Europe","FLK",0.0644678990835818
"EUR","South Europe","CNM",0.0307586498226379
"EUR","South Europe","CYN",0.0307586498226379
"EUR","South Europe","CYP",0.0469215028555287
"EUR","South Europe","GRC",0.0230822499664078
"EUR","South Europe","SMR",0.0307586498226379
"EUR","South Europe","VAT",0.0307586498226379
"EUR","South Europe","ITA",0.0255779865695513
"EUR","South Europe","MLT",0.0256436167861663
"EUR","South Europe","PRT",0.0322269479106087
"EUR","South Europe","AND",0.0307586498226379
"EUR","South Europe","ESP",0.0310995948475649
"EUR","Former USSR","ARM",0.0561159287590746
"EUR","Former USSR","AZE",0.0561159287590746
"EUR","Former USSR","BLR",0.0623754619751312
"EUR","Former USSR","GEO",0.0563431640860998
"EUR","Former USSR","KAZ",0.059436410775953
"EUR","Former USSR","KAB",0.0561159287590746
"EUR","Former USSR","KGZ",0.0594768862379297
"EUR","Former USSR","MDA",0.0488144484665675
"EUR","Former USSR","RUS",0.0477870840697843
"EUR","Former USSR","TJK",0.0561159287590746
"EUR","Former USSR","TKM",0.0561159287590746
"EUR","Former USSR","UKR",0.054071732725958
"EUR","Former USSR",NA,0.0561159287590746
"EUR","Former USSR","UZB",0.0606222417351738
"EUR","Balkans","ALB",0.00375495181059762
"EUR","Balkans","BIH",0.059747445156408
"EUR","Balkans","HRV",0.0232304492560671
"EUR","Balkans","MKD",0.0133280124830755
"EUR","Balkans","MNE",0.0435867022990745
"EUR","Balkans","KOS",0.0325592019898026
"EUR","Balkans","SRB",0.0517076509335929
"EUR","Rest of Europe",NA,0.0393254065958894
"EUR","Rest of Europe","ISL",0.0541653971517025
"EUR","Rest of Europe","NOR",0.0420795207743191
"EUR","Rest of Europe","CHE",0.0217313018616466
"OCE","Pacific islands",NA,0.0479108635843704
"OCE","ANZ","AUS",0.0577043394305162
"OCE","ANZ","HMD",0.0583760436491766
"OCE","ANZ","IOA",0.0583760436491766
"OCE","ANZ","NFK",0.0583760436491766
"OCE","ANZ","CSI",0.0583760436491766
"OCE","ANZ","ATC",0.0583760436491766
"OCE","ANZ","NZL",0.059047747867837
"OCE","ANZ","COK",0.0583760436491766
"OCE","ANZ","NIU",0.0583760436491766
"OCE","Pacific islands","FJI",0.0491928235779157
"OCE","Pacific islands","KIR",0.0479108635843704
"OCE","Pacific islands","PNG",0.0479108635843704
"OCE","Pacific islands","WSM",0.0402562871295691
"OCE","Pacific islands","SLB",0.0479108635843704
"OCE","Pacific islands","MHL",0.0479108635843704
"OCE","Pacific islands","NRU",0.0479108635843704
"OCE","Pacific islands","TUV",0.0479108635843704
"OCE","Pacific islands","TON",0.0479108635843704
"OCE","Pacific islands","FSM",0.0479108635843704
"OCE","Pacific islands","PLW",0.0479108635843704
"OCE","Pacific islands","VUT",0.0542834800456265
"NAM","Canada","CAN",0.0494805928185773
"NAM","Canada",NA,0.0494805928185773
"NAM","United States","USA",0.0546002049246389
"NAM","United States","UMI",0.0546002049246389
"NAM","United States","VIR",0.0546002049246389
"NAM","United States","PRI",0.0546002049246389
"NAM","United States","ASM",0.0546002049246389
"NAM","United States","GUM",0.0546002049246389
"NAM","United States","MNP",0.0546002049246389
"LAM","Rest of Centr. America","PAN",0.0467332176392483
"LAM","Rest of Centr. America","TTO",0.0519526740579469
"LAM","Rest of Centr. America",NA,0.0519526740579469
"LAM","Rest of Centr. America","VCT",0.0519526740579469
"LAM","Rest of Centr. America","LCA",0.0519526740579469
"LAM","Rest of Centr. America","KNA",0.0519526740579469
"LAM","Rest of Centr. America",NA,0.0519526740579469
"LAM","Rest of Centr. America",NA,0.0519526740579469
"LAM","Rest of Centr. America","ATG",0.0557525521354361
"LAM","Rest of Centr. America",NA,0.0519526740579469
"LAM","Brazil","BRA",0.0529969091325526
"LAM","Mexico","MEX",0.0510609876195296
"LAM","Rest of Centr. America","BHS",0.0591296494422358
"LAM","Rest of Centr. America","BRB",0.0519526740579469
"LAM","Rest of Centr. America","BLZ",0.0671744541616893
"LAM","Rest of Centr. America",NA,0.0519526740579469
"LAM","Rest of Centr. America","CRI",0.0426584633775281
"LAM","Rest of Centr. America","USG",0.0519526740579469
"LAM","Rest of Centr. America","CUB",0.0519526740579469
"LAM","Rest of Centr. America","DMA",0.0519526740579469
"LAM","Rest of Centr. America","DOM",0.0417280102368218
"LAM","Rest of Centr. America","SLV",0.0526211155335582
"LAM","Rest of Centr. America","GRD",0.0519526740579469
"LAM","Rest of Centr. America","GTM",0.0433434239361089
"LAM","Rest of Centr. America","HTI",0.0519526740579469
"LAM","Rest of Centr. America","HND",0.0596296182899464
"LAM","Rest of Centr. America","JAM",0.0519526740579469
"LAM","Rest of Centr. America","NIC",0.0507562358268959
"LAM","Rest of Centr. America",NA,0.0519526740579469
"LAM","Rest of South America","ARG",0.052043072912811
"LAM","Rest of South America","BOL",0.0457301114604451
"LAM","Rest of South America","CHL",0.0616889926088565
"LAM","Rest of South America","COL",0.0597698955980342
"LAM","Rest of South America","ECU",0.0661705910032751
"LAM","Rest of South America","GUY",0.0537264319495622
"LAM","Rest of South America","PRY",0.0559058586249089
"LAM","Rest of South America","PER",0.0537264319495622
"LAM","Rest of South America","SUR",0.0375604277164322
"LAM","Rest of South America","URY",0.0509425056717344
"LAM","Rest of South America","VEN",0.0537264319495622
"EAS","China","CHN",0.0627058085573919
"EAS","China","HKG",0.0570038150633793
"EAS","China","MAC",0.0210183604691328
"EAS","Japan","JPN",0.044394521743419
"EAS","China","TWN",0.046909328029968
"EAS","South Korea","KOR",0.05584638988775
"SEA","Insular SEA","BRN",0.0556123982045293
"SEA","Insular SEA","IDN",0.0587446963492036
"SEA","Insular SEA","SGP",0.0554859297289681
"SEA","Insular SEA","MYS",0.0514491980169968
"SEA","Insular SEA","MMR",0.0575087934827887
"SEA","Insular SEA","PHL",0.0556123982045293
"SEA","Insular SEA","THA",0.0548733734446896
"SEA","Continental SEA","KHM",0.0525732620867071
"SEA","Continental SEA","PRK",0.0525732620867071
"SEA","Continental SEA","LAO",0.0525732620867071
"SEA","Continental SEA","MNG",0.0541941687359041
"SEA","Continental SEA","TLS",0.0525732620867071
"SEA","Continental SEA","VNM",0.05095235543751
"SAS","India","KAS",0.0585893559488303
"SAS","India",NA,0.0585893559488303
"SAS","India","IND",0.0585893559488303
"SAS","Rest of South Asia","AFG",0.0497633373486363
"SAS","Rest of South Asia","BGD",0.0497633373486363
"SAS","Rest of South Asia","BTN",0.0497633373486363
"SAS","Rest of South Asia","MDV",0.0497633373486363
"SAS","Rest of South Asia","NPL",0.0569183587002457
"SAS","Rest of South Asia","PAK",0.0449257569325564
"SAS","Rest of South Asia","LKA",0.0474458964131067
"MNA","Mid. east, North Africa","DZA",0.0283598947215324
"MNA","Mid. east, North Africa","BHR",0.0480100934014048
"MNA","Mid. east, North Africa","EGY",0.0555849786136285
"MNA","Mid. east, North Africa","IRN",0.0463491580835593
"MNA","Mid. east, North Africa","IRQ",0.0480100934014048
"MNA","Mid. east, North Africa","ISR",0.0358092890534457
"MNA","Mid. east, North Africa","PSX",0.0480100934014048
"MNA","Mid. east, North Africa","JOR",0.0545952301856995
"MNA","Mid. east, North Africa","KWT",0.0462798883904729
"MNA","Mid. east, North Africa","LBN",0.0596459953496272
"MNA","Mid. east, North Africa","LBY",0.0480100934014048
"MNA","Mid. east, North Africa","MAR",0.0480100934014048
"MNA","Mid. east, North Africa","SAH",0.0480100934014048
"MNA","Mid. east, North Africa","OMN",0.0522870124823202
"MNA","Mid. east, North Africa","QAT",0.0480100934014048
"MNA","Mid. east, North Africa",NA,0.0480100934014048
"MNA","Mid. east, North Africa","SAU",0.0539810322389296
"MNA","Mid. east, North Africa","SYR",0.0480100934014048
"MNA","Mid. east, North Africa","TUN",0.0400271370560261
"MNA","Mid. east, North Africa","ARE",0.0551914112402113
"MNA","Mid. east, North Africa","YEM",0.0480100934014048
"MNA","Turkey","TUR",0.0379811455553634
"SSA","Congo basin","CMR",0.0463750051488133
"SSA","Congo basin","CAF",0.0463750051488133
"SSA","Congo basin","COG",0.0463750051488133
"SSA","Congo basin","GAB",0.0463750051488133
"SSA","Congo basin","GNQ",0.0463750051488133
"SSA","Congo basin","COD",0.0463750051488133
"SSA","East Africa","BDI",0.0559367311344794
"SSA","East Africa","ETH",0.0506308745665512
"SSA","East Africa","KEN",0.053544333168469
"SSA","East Africa","RWA",0.0559367311344794
"SSA","East Africa","TZA",0.0581130391848694
"SSA","East Africa","UGA",0.061458677618028
"SSA","South Africa","ZAF",0.0474001854565681
"SSA","Rest of South Africa","AGO",0.059263537812022
"SSA","Rest of South Africa","BWA",0.0541513180616871
"SSA","Rest of South Africa","COM",0.0519171349673552
"SSA","Rest of South Africa","LSO",0.0519171349673552
"SSA","Rest of South Africa","SYC",0.0519171349673552
"SSA","Rest of South Africa","MDG",0.060314153637132
"SSA","Rest of South Africa","MWI",0.0519171349673552
"SSA","Rest of South Africa","MUS",0.0590339672306217
"SSA","Rest of South Africa","MOZ",0.0519171349673552
"SSA","Rest of South Africa","NAM",0.0452187635503729
"SSA","Rest of South Africa","SWZ",0.0542001444324374
"SSA","Rest of South Africa","ZMB",0.0576415682263686
"SSA","Rest of South Africa","ZWE",0.0255136267881998
"SSA","West Africa","BEN",0.0496945287031098
"SSA","West Africa","BFA",0.0496945287031098
"SSA","West Africa","CPV",0.0496945287031098
"SSA","West Africa","TCD",0.0496945287031098
"SSA","West Africa","CIV",0.0501207409492411
"SSA","West Africa","DJI",0.0624365539922998
"SSA","West Africa","ERI",0.0496945287031098
"SSA","West Africa","GMB",0.0496945287031098
"SSA","West Africa","GHA",0.0294470555501174
"SSA","West Africa","GIN",0.0496945287031098
"SSA","West Africa","GNB",0.0496945287031098
"SSA","West Africa","LBR",0.0496945287031098
"SSA","West Africa","MLI",0.0457774360216838
"SSA","West Africa","MRT",0.0496945287031098
"SSA","West Africa","NER",0.0605154747566848
"SSA","West Africa","NGA",0.0665380684052931
"SSA","West Africa","SEN",0.0498016505157882
"SSA","West Africa","SLE",0.0496945287031098
"SSA","West Africa","SOM",0.047891531322842
"SSA","West Africa","SDN",0.0549697199670299
"SSA","West Africa","TGO",0.0294470555501174
"SSA","West Africa","SOL",0.0496945287031098
"SSA","West Africa","STP",0.0496945287031098
"SSA","West Africa","SDS",0.0496945287031098
