ADM0_A3,barley,cassava,groundnut,maize,millet,oilpalm,potato,rapeseed,rice,rye,sorghum,soybean,sugarbeet,sugarcane,sunflower,wheat
IDN,5.42E-05,0.6166712,0.928981956,0.53403562,0.119306473,0.616904876,0.114438921,0.000367,0.561959038,3.19E-05,0.15435051,0.269306805,0.305698222,0.710769535,0.205639545,0.145370749
MYS,5.42E-05,0.556250898,0.463035228,0.720234112,0.119306473,0.827639165,0.215534037,0.000367,0.520560796,3.19E-05,0.15435051,0.218954349,0.159041697,0.718083316,0.205639545,0.145370749
CHL,0.255325234,0.282163096,0.281058073,0.569231783,0.099712659,0.214139306,0.164146168,0.468006658,0.035469644,0.07596515,0.260404609,0.27642581,0.30514754,0.237926421,0.235438032,0.279381854
BOL,0.082638383,0.397566649,0.328603975,0.377936357,0.099712659,6.63E-05,0.235004753,0.000150716,0.207594582,0.057383468,0.256575564,0.247073242,0.070579988,0.22061913,0.116971933,0.118212481
PER,0.080475175,0.159794716,0.213945447,0.105109286,0.099712659,0.228158669,0.139549629,0.146044553,0.201972122,0.047325323,0.175703313,0.144099116,0.070579988,0.253315464,0.25150597,0.082450384
ARG,0.15331213,0.049848082,0.137642327,0.344045274,0.397599329,2.49E-05,0.279018792,0.073431337,0.117651707,0.054644815,0.348972904,0.325355649,0.000299162,0.051798137,0.298234452,0.22726874
ESB,0.231978312,0.146299281,0.181605516,0.248129969,0.031287674,0.127998208,0.257288347,0.144890528,0.128433878,0.293221359,0.128796079,0.150211333,0.209801126,0.024971965,0.354484305,0.201059328
CYP,0.231978312,0.328581679,0.181605516,0.248129969,0.031287674,0.345306363,0.257288347,0.144890528,0.128433878,0.293221359,0.128796079,0.150211333,0.209801126,0.024971965,0.354484305,0.201059328
IND,0.011339809,0.228311062,0.550577445,0.463836649,0.490623694,0.031399056,0.480230941,0.416094256,0.442220598,0.000277408,0.356677409,0.263379332,5.34E-05,0.570135955,0.261282006,0.359967719
CHN,0.48550055,0.174423996,0.251771445,0.289465007,0.263479908,0.051265236,0.318909554,0.357277794,0.295431733,0.257269112,0.227587388,0.386305672,0.13162753,0.106774768,0.349825584,0.416376865
